"","row_var","row_cat","col_var","col_cat","n","n_row","n_total","percent_total","se_total","t_crit_total","lcl_total","ucl_total","percent_row","se_row","t_crit_row","lcl_row","ucl_row"
"1","xdr","0","num_strains_am_mutations","0",50,53,76,65.7894736842105,5.47806841964772,1.99210215400224,54.2164416300072,75.7458103125216,94.3396226415094,3.20455764380546,1.99210215400224,83.4510366753693,98.2170049805311
"2","xdr","0","num_strains_am_mutations","1",3,53,76,3.94736842105263,2.24842203824146,1.99210215400224,1.24540073846009,11.8103464550485,5.66037735849057,3.20455764380546,1.99210215400224,1.78299501946895,16.5489633246307
"3","xdr","1","num_strains_am_mutations","0",23,23,76,30.2631578947368,5.30466092376872,1.99210215400224,20.8248561057885,41.7248164596049,100,0,1.99210215400224,NA,NA
"4","xdr","0","num_strains_bdq_mutations","0",114,115,165,69.0909090909091,3.60854101157396,1.97453457585847,61.5555164630111,75.7316175251096,99.1304347826087,0.869565217391302,1.97453457585847,93.9593089864157,99.8804570384944
"5","xdr","0","num_strains_bdq_mutations","1",1,115,165,0.606060606060606,0.606060606060606,1.97453457585847,0.0835669909511231,4.25622902909816,0.869565217391304,0.869565217391304,1.97453457585847,0.119542961505649,6.04069101358429
"6","xdr","1","num_strains_bdq_mutations","0",47,50,165,28.4848484848485,3.52439084451179,1.97453457585847,22.0603669648325,35.9180655572685,94,3.39266916772512,1.97453457585847,82.6895023175288,98.0909532125672
"7","xdr","1","num_strains_bdq_mutations","1",3,50,165,1.81818181818182,1.0433073486491,1.97453457585847,0.580628258253267,5.54631139236303,6,3.39266916772512,1.97453457585847,1.90904678743281,17.3104976824712
"8","xdr","0","num_strains_cm_mutations","0",125,131,222,56.3063063063063,3.33650486428107,1.97075627048947,49.6583447903295,62.7351632126466,95.4198473282443,1.8335284786842,1.97075627048947,90.1121790249312,97.9434430586301
"9","xdr","0","num_strains_cm_mutations","1",6,131,222,2.7027027027027,1.09082074702105,1.97075627048947,1.21162442399235,5.91882572587239,4.58015267175572,1.8335284786842,1.97075627048947,2.05655694136993,9.8878209750688
"10","xdr","1","num_strains_cm_mutations","0",89,91,222,40.0900900900901,3.29664143199102,1.97075627048947,33.800131281072,46.7244050880421,97.8021978021978,1.54542293844169,1.97075627048947,91.517900752795,99.4580954263918
"11","xdr","1","num_strains_cm_mutations","1",2,91,222,0.900900900900901,0.635590250690694,1.97075627048947,0.223004956698709,3.5658367004157,2.1978021978022,1.54542293844168,1.97075627048947,0.541904573608178,8.48209924720501
"12","xdr","0","num_strains_cfz_mutations","0",91,93,144,63.1944444444444,4.03299905396072,1.97669219792979,54.9294259578999,70.7508815625174,97.8494623655914,1.51237270870704,1.97669219792979,91.6601693061702,99.4719182962183
"13","xdr","0","num_strains_cfz_mutations","1",2,93,144,1.38888888888889,0.978652836519693,1.97669219792979,0.341848317620195,5.46696490017969,2.1505376344086,1.51237270870704,1.97669219792979,0.528081703781696,8.33983069382975
"14","xdr","1","num_strains_cfz_mutations","0",48,51,144,33.3333333333333,3.94208263992722,1.97669219792979,26.0417454729291,41.5203684856809,94.1176470588235,3.32756132323081,1.97669219792979,82.9843162014917,98.1305625590279
"15","xdr","1","num_strains_cfz_mutations","1",3,51,144,2.08333333333333,1.19437216311536,1.97669219792979,0.664321458840822,6.33994751273612,5.88235294117647,3.32756132323081,1.97669219792979,1.86943744097213,17.0156837985083
"16","xdr","0","num_strains_cs_mutations","0",141,148,245,57.5510204081633,3.16420948794294,1.96973399227238,51.230858292238,63.6335384545023,95.2702702702703,1.7508066744418,1.96973399227238,90.3568054723005,97.742736347755
"17","xdr","0","num_strains_cs_mutations","1",7,148,245,2.85714285714286,1.06653841093543,1.96973399227238,1.36097541253451,5.89972218279831,4.72972972972973,1.7508066744418,1.96973399227238,2.25726365224505,9.64319452769946
"18","xdr","1","num_strains_cs_mutations","0",91,97,245,37.1428571428571,3.09328587927899,1.96973399227238,31.2798709053192,43.4105806775917,93.8144329896907,2.45860618921893,1.96973399227238,86.8133976193743,97.2176069164909
"19","xdr","1","num_strains_cs_mutations","1",6,97,245,2.44897959183673,0.989494941012177,1.96973399227238,1.09810487923679,5.37142821941978,6.18556701030928,2.45860618921893,1.96973399227238,2.78239308350908,13.1866023806257
"20","xdr","0","num_strains_e_mutations","0",267,273,298,89.5973154362416,1.7715033945527,1.96798352537622,85.5600175559353,92.6034021454867,97.8021978021978,0.888963965059798,1.96798352537622,95.173565148193,99.0140234720437
"21","xdr","0","num_strains_e_mutations","1",6,273,298,2.01342281879195,0.815028062213296,1.96798352537622,0.90311991860182,4.42775075319663,2.1978021978022,0.888963965059797,1.96798352537622,0.985976527956288,4.82643485180696
"22","xdr","1","num_strains_e_mutations","0",23,25,298,7.71812080536913,1.54858759562231,1.96798352537622,5.17024075657915,11.3710314468113,92,5.53774924194538,1.96798352537622,72.3444725995037,98.0603596462886
"23","xdr","1","num_strains_e_mutations","1",2,25,298,0.671140939597315,0.473768699333093,1.96798352537622,0.166572323173181,2.66333723570073,8,5.53774924194538,1.96798352537622,1.93964035371144,27.6555274004963
"24","xdr","0","num_strains_eto_mutations","0",157,164,258,60.8527131782946,3.04455795457937,1.96923749623368,54.7221326189303,66.6589658866994,95.7317073170732,1.58329265103047,1.96923749623368,91.2718753054854,97.9635336008091
"25","xdr","0","num_strains_eto_mutations","1",7,164,258,2.71317829457364,1.01344366698146,1.96923749623368,1.29245404006086,5.60691611134256,4.26829268292683,1.58329265103047,1.96923749623368,2.03646639919086,8.72812469451462
