Genes	Transcription Units	Pathways of gene	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Names
G185E-5191	TU185E-5702		GO:0071805 // GO:0006813 // GO:0006811	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0008556 // GO:0005524 // GO:0000166	kdpC // Rv1031
G185E-5187	TU185E-5701		GO:0009593 // GO:0018106 // GO:0016310 // GO:0007165 // GO:0000160	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005737	GO:0016772 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0005515 // GO:0004673 // GO:0000166 // GO:0000155	kdpD // Rv1028c
G185E-5186	TU185E-5701		GO:0045893 // GO:0040007 // GO:0006355 // GO:0000160	GO:0032993 // GO:0005829 // GO:0005737	GO:0001216 // GO:0000976 // GO:0003700 // GO:0000156 // GO:0005515 // GO:0003677	kdpE // Rv1027c
G185E-5188	TU185E-5702		GO:0071805 // GO:0051365 // GO:0043462	GO:0016020 // GO:0016021 // GO:0005886	GO:0008556	kdpF // Rv1028A
G185E-7219	TU185E-6702		GO:0034214 // GO:0015937 // GO:0009058	GO:0005829 // GO:0005737	GO:0016779 // GO:0016740 // GO:0005524 // GO:0004595 // GO:0003824 // GO:0000166	kdtB // coaD // Rv2965c
G185E-7753	TU185E-7250		GO:0055085	GO:0005887 // GO:0016021 // GO:0016020	GO:0022857	kgtP // Rv3476c
G185E-4977	TU185E-5592		GO:0032025 // GO:0010045 // GO:0006355		GO:0003700 // GO:0003677	kmtR // Rv0827c
G185E-5168	TU185E-5691		GO:0032259 // GO:0031167 // GO:0006364 // GO:0000154	GO:0005829 // GO:0005737	GO:0016433 // GO:0052908 // GO:0016740 // GO:0008649 // GO:0008168 // GO:0003723 // GO:0000179	ksgA // Rv1010
G185E-7803	TU185E-6979	PWY-6947 // PWY-6944	GO:0008203 // GO:0070723 // GO:0070207 // GO:0016042 // GO:0008202 // GO:0006707 // GO:0006694 // GO:0006629	GO:0005737 // GO:0005829	GO:0051537 // GO:0051536 // GO:0047086 // GO:0046872 // GO:0036200 // GO:0016491 // GO:0005506	kshA // Rv3526
G185E-7849	TU185E-6999	PWY-6944 // PWY-6947 // PWY-6945 // PWY-6946	GO:0022900 // GO:0071766 // GO:0051409 // GO:0016042 // GO:0009247 // GO:0008203 // GO:0008202 // GO:0006707 // GO:0006694 // GO:0006629 // GO:0001666		GO:0071949 // GO:0051537 // GO:0051536 // GO:0047086 // GO:0046872 // GO:0036200 // GO:0016491 // GO:0009055	kshB // hmp // Rv3571
G185E-7814	TU185E-6984	PWY-6947 // PWY-6944	GO:0016042 // GO:0008202 // GO:0006707 // GO:0006694 // GO:0006629	GO:0005886	GO:0047571 // GO:0016491	kstD // Rv3537
G185E-7852	TU185E-7235		GO:0006355	GO:0005829	GO:0003700 // GO:0000976 // GO:0042803 // GO:0003677	kstR // Rv3574
G185E-7564	TU185E-6860		GO:0009450 // GO:0017000	GO:0005829	GO:0003867 // GO:0045484 // GO:0030170 // GO:0016740 // GO:0008483 // GO:0003824	lat // Rv3290c
G185E-4233	TU185E-7710	PWY-6385	GO:0071555 // GO:0018104 // GO:0009252 // GO:0008360 // GO:0006508	GO:0042597 // GO:0005576	GO:0071972 // GO:0016746 // GO:0016740	ldtA // Rv0116c
G185E-6755	TU185E-6479	PWY0-1586	GO:0018104 // GO:0006508 // GO:0071555 // GO:0009252 // GO:0008360	GO:0005576 // GO:0016020 // GO:0005886	GO:0071972 // GO:0046872 // GO:0016746 // GO:0016740	ldtB // Rv2518c
G185E-6634	TU185E-6418		GO:0045727 // GO:0006414 // GO:0006412	GO:0016020 // GO:0005886 // GO:0005829 // GO:0005618	GO:0043022 // GO:0003746 // GO:0016787 // GO:0005525 // GO:0003924 // GO:0000166	lepA // Rv2404c
G185E-7155	TU185E-6673		GO:0006465 // GO:0040007 // GO:0006508	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005576	GO:0004252 // GO:0016787 // GO:0008236 // GO:0008233	lepB // Rv2903c
G185E-7997	TU185E-7219	BRANCHED-CHAIN-AA-SYN-PWY // LEUSYN-PWY	GO:0040007 // GO:0019752 // GO:0009098 // GO:0009082 // GO:0008652	GO:0005829 // GO:0005886 // GO:0005576	GO:0046912 // GO:0030955 // GO:0030145 // GO:0016740 // GO:0008270 // GO:0005515 // GO:0003852 // GO:0003824 // GO:0000287	leuA // Rv3710
G185E-7252	TU185E-6717	BRANCHED-CHAIN-AA-SYN-PWY // LEUSYN-PWY	GO:0040007 // GO:0009098 // GO:0009082 // GO:0008652	GO:0005829 // GO:0005737	GO:0051287 // GO:0046872 // GO:0016616 // GO:0016491 // GO:0005515 // GO:0003862 // GO:0000287	leuB // Rv2995c
G185E-7243	TU185E-6715	BRANCHED-CHAIN-AA-SYN-PWY // LEUSYN-PWY	GO:0009098 // GO:0009082 // GO:0008652	GO:0005829 // GO:0005618	GO:0051539 // GO:0051536 // GO:0046872 // GO:0016829 // GO:0003861	leuC // Rv2988c
G185E-7242	TU185E-6715	BRANCHED-CHAIN-AA-SYN-PWY // LEUSYN-PWY	GO:0040007 // GO:0009098 // GO:0009082 // GO:0008652	GO:0005829 // GO:0009316 // GO:0005886	GO:0016829 // GO:0003861	leuD // Rv2987c
G185E-4155	TU185E-7718	TRNA-CHARGING-PWY	GO:0106074 // GO:0040007 // GO:0006429 // GO:0006418 // GO:0006412	GO:0005829 // GO:0005886 // GO:0005737 // GO:0005618	GO:0016874 // GO:0005524 // GO:0004823 // GO:0004812 // GO:0002161 // GO:0000166	leuS // Rv0041
G185E-4134	TU185E-7720	PWY0-1479 // TRNA-CHARGING-PWY				leuT
G185E-6348	TU185E-7425	PWY0-1479 // TRNA-CHARGING-PWY				leuU
G185E-5814	TU185E-6002	PWY0-1479 // TRNA-CHARGING-PWY				leuV
G185E-5527	TU185E-5877	PWY0-1479 // TRNA-CHARGING-PWY				leuW
G185E-5217	TU185E-5717	PWY0-1479 // TRNA-CHARGING-PWY				leuX
G185E-6968	TU185E-7348		GO:0046677 // GO:0045892 // GO:0009432 // GO:0006974 // GO:0006508 // GO:0006355 // GO:0006281 // GO:0006260	GO:0005829 // GO:0005618	GO:0016787 // GO:0004252 // GO:0003677	lexA // Rv2720
G185E-5802	TU185E-5995	PWY-7884	GO:0018215 // GO:0042158 // GO:0040007	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0008961 // GO:0016740	lgt // Rv1614
G185E-8200	TU185E-7182				GO:0005515	LH57_21250 // Rv3902c
G185E-7570	TU185E-6864		GO:0010501	GO:0005737 // GO:0005886 // GO:0005618	GO:0003723 // GO:0003724 // GO:0016818 // GO:0005524 // GO:0004386 // GO:0003676	lhr // Rv3296
G185E-7272	TU185E-6724		GO:0006259 // GO:0040007 // GO:0006974 // GO:0006288 // GO:0006281 // GO:0006266 // GO:0006260	GO:0005886 // GO:0005829 // GO:0005618	GO:0046872 // GO:0016874 // GO:0003911 // GO:0000287	ligA // lig // Rv3014c
G185E-7323	TU185E-6752		GO:0006273 // GO:0071897 // GO:0051301 // GO:0051103 // GO:0007049 // GO:0006974 // GO:0006310 // GO:0006281 // GO:0006266 // GO:0006260	GO:0005737 // GO:0005829 // GO:0005618	GO:0046872 // GO:0016874 // GO:0005524 // GO:0003910 // GO:0003909 // GO:0003677 // GO:0000287 // GO:0000166	ligB // Rv3062
G185E-8021	TU185E-7094		GO:0006266 // GO:0051103 // GO:0006310 // GO:0006281 // GO:0006273	GO:0005829 // GO:0005737	GO:0016874 // GO:0005524 // GO:0003910 // GO:0000166	ligC // Rv3731
G185E-5093	TU185E-5651		GO:0006302 // GO:0090305 // GO:0071897 // GO:0016032 // GO:0008152 // GO:0006974 // GO:0006310 // GO:0006303 // GO:0006281 // GO:0006269 // GO:0006266	GO:0005829 // GO:0005886	GO:0032553 // GO:0046872 // GO:0030145 // GO:0016874 // GO:0016787 // GO:0016779 // GO:0016740 // GO:0008310 // GO:0005524 // GO:0005515 // GO:0004652 // GO:0004527 // GO:0004518 // GO:0003910 // GO:0003909 // GO:0003899 // GO:0003896 // GO:0003887 // GO:0003824 // GO:0003677 // GO:0000287 // GO:0000166	ligD // Rv0938
G185E-6428	TU185E-6305		GO:0009249 // GO:0040007 // GO:0009107	GO:0005739 // GO:0005829 // GO:0005737	GO:0102552 // GO:0102553 // GO:0016783 // GO:0051539 // GO:0051536 // GO:0046872 // GO:0016992 // GO:0016740 // GO:0003824	lipA // Rv2218
G185E-6427	TU185E-6305		GO:0018215 // GO:0009249 // GO:0040007 // GO:0009107 // GO:0006464	GO:0005829 // GO:0005886 // GO:0005737	GO:0016415 // GO:0033819 // GO:0016746 // GO:0016740	lipB // Rv2217
G185E-4340	TU185E-5270		GO:0046503	GO:0042603 // GO:0009986 // GO:0005618 // GO:0005576	GO:0008126 // GO:0016787 // GO:0004806	lipC // Rv0220
G185E-6120	TU185E-6162	LIPAS-PWY		GO:0030288	GO:0004806	lipD // Rv1923
G185E-8070	TU185E-7121	LIPAS-PWY		GO:0005886	GO:0004806	lipE // Rv3775
G185E-7764	TU185E-7246		GO:0052572 // GO:0051701 // GO:0010447	GO:0005829	GO:0080030 // GO:0004806 // GO:0052689 // GO:0016787 // GO:0004629	lipF // Rv3487c
G185E-4789	TU185E-5500		GO:0046503	GO:0005886	GO:0016787 // GO:0004806	lipG // Rv0646c
G185E-5583	TU185E-5904		GO:0009056	GO:0005829	GO:0008126 // GO:0034338 // GO:0016787	lipI // Rv1400c
G185E-6097	TU185E-6150		GO:0098869 // GO:0035556 // GO:0009190 // GO:0006182 // GO:0006171	GO:0005829	GO:0016787 // GO:0042803 // GO:0030145 // GO:0004601 // GO:0004383 // GO:0004016	lipJ // Rv1900c
G185E-5682	TU185E-5940	LIPAS-PWY	GO:0046503	GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0008126 // GO:0016787 // GO:0008800 // GO:0004806	lipL // Rv1497
G185E-6502	TU185E-6342		GO:0052562	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886 // GO:0005576	GO:0016787	lipM // Rv2284
G185E-7224	TU185E-6705	LIPAS-PWY	GO:0009056	GO:0005737 // GO:0005829 // GO:0005886	GO:0008126 // GO:0052689 // GO:0004806 // GO:0034338 // GO:0016787	lipN // Rv2970c
G185E-5609	TU185E-5914		GO:0052572	GO:0005829 // GO:0016021 // GO:0016020 // GO:0005886	GO:0016787	lipO // Rv1426c
G185E-6697	TU185E-6452			GO:0030288 // GO:0005886		lipP // Rv2463
G185E-6720	TU185E-6463				GO:0016787	lipQ // Rv2485c
G185E-7346	TU185E-6763		GO:0010447 // GO:0009056 // GO:0051701 // GO:0001101	GO:0005829 // GO:0005886	GO:0034338 // GO:0016787	lipR // Rv3084
G185E-6248	TU185E-6217			GO:0005829	GO:0016787	lipT // Rv2045c
G185E-5238	TU185E-5733	LIPAS-PWY		GO:0005576 // GO:0005829	GO:0008126 // GO:0004806 // GO:0016298 // GO:0016787	lipU // Rv1076
G185E-7473	TU185E-6817		GO:0071468 // GO:0016042 // GO:0009062 // GO:0006629		GO:0080030 // GO:0052689 // GO:0016787 // GO:0016298 // GO:0005504 // GO:0003824	lipV // Rv3203
G185E-4337	TU185E-7683		GO:0009056	GO:0005829	GO:0034338 // GO:0016787	lipW // Rv0217c
G185E-5338	TU185E-5784		GO:0071555 // GO:0052572 // GO:0040007	GO:0005576 // GO:0005618	GO:0016787 // GO:0008126 // GO:0004806	lipX // PE11 // Rv1169c
G185E-7359	TU185E-6768	LIPAS-PWY	GO:0016042 // GO:0006629	GO:0005618 // GO:0005737 // GO:0009986 // GO:0005576	GO:0008126 // GO:0004806 // GO:0016787	lipY // PE_PGRS63 // Rv3097c
G185E-6029	TU185E-7471				GO:0016787 // GO:0003824	lipZ // Rv1834
G185E-6067	TU185E-6135		GO:0019516	GO:0005829 // GO:0005886 // GO:0005618	GO:0004459 // GO:0016491 // GO:0010181 // GO:0003824	lldD2 // Rv1872c
G185E-5375	TU185E-5804		GO:0009691	GO:0005829	GO:0102682 // GO:0016799 // GO:0016787	log // Rv1205
G185E-7577	TU185E-6866		GO:0045454	GO:0005829	GO:0008753 // GO:0050136 // GO:0016668 // GO:0070401 // GO:0050660 // GO:0016655 // GO:0016491 // GO:0003955	lpdA // Rv3303c
G185E-4589	TU185E-5393	VALDEG-PWY // PWY-5482 // 1CMET2-PWY // PYRUVDEHYD-PWY // GLYCLEAV-PWY // PWY-5084 // PWY-5046	GO:0098869 // GO:0045454 // GO:0040007 // GO:0006099 // GO:0006096	GO:0045254 // GO:0005886 // GO:0005829 // GO:0005737 // GO:0005576	GO:0004591 // GO:0035375 // GO:0070404 // GO:0050660 // GO:0016668 // GO:0016655 // GO:0016491 // GO:0016209 // GO:0015036 // GO:0005515 // GO:0004148	lpdC // CIP50 // TB49.2 // Rv0462
G185E-6782	TU185E-6491			GO:0016020 // GO:0005886		lppA // Rv2543
G185E-6783	TU185E-6491			GO:0016020 // GO:0005886 // GO:0005576		lppB // Rv2544
G185E-6108	TU185E-6156			GO:0009986 // GO:0030288 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576		lppC // Rv1911c
G185E-6096	TU185E-6150			GO:0005886 // GO:0005576		lppD // Rv1899c
G185E-6076	TU185E-6142			GO:0016020 // GO:0005886 // GO:0005618		lppE // Rv1881c
G185E-6118	TU185E-7461					lppF // Rv1921c
G185E-6143	TU185E-7454					lppG // Rv1946c
G185E-7854	TU185E-7000		GO:0016310	GO:0016021 // GO:0016020	GO:0016301	lppH // pknM // Rv3576
G185E-6249	TU185E-7443			GO:0005886		lppI // Rv2046
G185E-6286	TU185E-6232			GO:0016020 // GO:0005886 // GO:0005576		lppJ // Rv2080
G185E-6322	TU185E-6253			GO:0016020 // GO:0005886		lppK // Rv2116
G185E-6344	TU185E-6262		GO:0040007			lppL // Rv2138
G185E-6380	TU185E-6280		GO:0052170	GO:0005576 // GO:0016021 // GO:0016020 // GO:0005618	GO:0008289	lppM // Rv2171
G185E-6487	TU185E-6334			GO:0009986 // GO:0016020 // GO:0005886		lppN // Rv2270
G185E-6508	TU185E-6344			GO:0016020 // GO:0005886 // GO:0005576		lppO // Rv2290
G185E-6554	TU185E-6374			GO:0016020 // GO:0005886		lppP // Rv2330c
G185E-6567	TU185E-6383					lppQ // Rv2341
G185E-6633	TU185E-6418		GO:0016310	GO:0016021 // GO:0016020	GO:0016301	lppR // Rv2403c
G185E-5994	TU185E-6088					lppT // Rv1799
G185E-7033	TU185E-6619					lppU // Rv2784c
G185E-7045	TU185E-6625			GO:0016020 // GO:0005886		lppV // Rv2796c
G185E-7157	TU185E-7330			GO:0016020 // GO:0005886 // GO:0005576		lppW // Rv2905
G185E-7199	TU185E-6692		GO:0071770 // GO:0051701 // GO:0006869	GO:0016020 // GO:0009986 // GO:0005886 // GO:0005618 // GO:0005576	GO:0005319	lppX // Rv2945c
G185E-7257	TU185E-6720		GO:0040007	GO:0005886 // GO:0005618		lppY // Rv2999
G185E-7264	TU185E-7316				GO:0003824	lppZ // Rv3006
G185E-7274	TU185E-7312		GO:0016310	GO:0016020 // GO:0016021	GO:0016301	lpqA // Rv3016
G185E-7518	TU185E-6840		GO:0040007	GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576		lpqB // Rv3244c
G185E-7572	TU185E-6865			GO:0005576	GO:0016787	lpqC // Rv3298c
G185E-7666	TU185E-6912			GO:0005737 // GO:0005886 // GO:0005576	GO:0016868 // GO:0016791	lpqD // Rv3390
G185E-7862	TU185E-7004			GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576		lpqE // Rv3584
G185E-7871	TU185E-7011		GO:0017001 // GO:0030655 // GO:0046677 // GO:0040007		GO:0008800	lpqF // Rv3593
G185E-7902	TU185E-7230		GO:0006974	GO:0071575 // GO:0030288		lpqG // Rv3623
G185E-8054	TU185E-7210		GO:0044650 // GO:0052151 // GO:0052553 // GO:0051701	GO:0005576 // GO:0097691 // GO:0030430 // GO:0016020 // GO:0009986 // GO:0005886 // GO:0005618	GO:0046789 // GO:0005515	lpqH // Rv3763
G185E-4358	TU185E-5280		GO:0071555 // GO:0009254 // GO:0008152 // GO:0005975	GO:0031362 // GO:0016020 // GO:0005886	GO:0016231 // GO:0102148 // GO:0016787 // GO:0004563 // GO:0016798 // GO:0004553	lpqI // Rv0237
G185E-4468	TU185E-7662					lpqJ // Rv0344c
G185E-4524	TU185E-5361		GO:0040007	GO:0030288		lpqK // Rv0399c
G185E-4543	TU185E-5367		GO:0006508	GO:0016020 // GO:0005886 // GO:0005576	GO:0008235 // GO:0046872 // GO:0016787 // GO:0008233 // GO:0004177	lpqL // Rv0418
G185E-4544	TU185E-5368			GO:0016021 // GO:0016020		lpqM // Rv0419
G185E-4717	TU185E-7636		GO:0071555	GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576		lpqN // Rv0583c
G185E-4739	TU185E-5473					lpqO // Rv0604
G185E-4814	TU185E-5512			GO:0005576	GO:0016787	lpqP // Rv0671
G185E-4989	TU185E-7608			GO:0016020 // GO:0016021 // GO:0005576		lpqQ // Rv0835
G185E-4992	TU185E-5602		GO:0071555 // GO:0006508	GO:0005829 // GO:0005576	GO:0046872 // GO:0016805 // GO:0016787 // GO:0008270 // GO:0008237 // GO:0008233	lpqR // Rv0838
G185E-5001	TU185E-5606		GO:0046688	GO:0016020 // GO:0005886		lpqS // Rv0847
G185E-5174	TU185E-5695			GO:0005576 // GO:0016020 // GO:0005886 // GO:0005618		lpqT // Rv1016c
G185E-5181	TU185E-5699		GO:0009253	GO:0110165 // GO:0005576	GO:0008933	lpqU // Rv1022
G185E-5226	TU185E-5724			GO:0016020 // GO:0005886		lpqV // Rv1064c
G185E-5335	TU185E-5782		GO:0098656 // GO:0046488 // GO:0040007 // GO:0015833 // GO:0009247 // GO:0008654 // GO:0006629	GO:0030288 // GO:0005576	GO:1904680	lpqW // Rv1166
G185E-5399	TU185E-7541	PWY-6113 // PWYG-321				lpqX // Rv1228
G185E-5406	TU185E-5819		GO:0051701 // GO:0015771 // GO:0008643	GO:0016020 // GO:0005886		lpqY // Rv1235
G185E-5415	TU185E-7538		GO:0055085 // GO:0031460	GO:0043190 // GO:0005886 // GO:0005829 // GO:0005618	GO:0022857 // GO:0005215	lpqZ // Rv1244
G185E-5442	TU185E-5839		GO:0007165 // GO:0042785	GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0048018 // GO:0008289	lprA // Rv1270c
G185E-5446	TU185E-5842		GO:0040007	GO:0016020 // GO:0005886		lprB // Rv1274
G185E-5447	TU185E-5842			GO:0005886 // GO:0005829 // GO:0005618		lprC // Rv1275
G185E-5522	TU185E-5875			GO:0016021 // GO:0016020 // GO:0005886		lprD // Rv1343c
G185E-5423	TU185E-5827			GO:0016020 // GO:0005886 // GO:0005576		lprE // Rv1252c
G185E-5550	TU185E-7527		GO:0006869	GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0008289 // GO:0005515	lprF // Rv1368
G185E-5594	TU185E-5908		GO:0046677 // GO:0006869	GO:0009986 // GO:0097691 // GO:0016020 // GO:0005886 // GO:0005618 // GO:0005576	GO:0051861 // GO:0035091 // GO:0008289	lprG // P27 // Rv1411c
G185E-5601	TU185E-5911			GO:0016021 // GO:0016020 // GO:0005886		lprH // Rv1418
G185E-5729	TU185E-5967			GO:0009986 // GO:0005618 // GO:0016020 // GO:0005886 // GO:0005576		lprI // Rv1541c
G185E-5881	TU185E-6031			GO:0016021 // GO:0016020 // GO:0005886	GO:0005515	lprJ // Rv1690
G185E-4291	TU185E-5249		GO:0051701	GO:0005618 // GO:0005576		lprK // mce1E // Rv0173
G185E-4728	TU185E-5465		GO:0051701	GO:0005618 // GO:0005576		lprL // mce2E // Rv0593
G185E-6169	TU185E-6176		GO:0051701	GO:0005618 // GO:0005576		lprM // mce3E // Rv1970
G185E-7772	TU185E-6968		GO:0051701	GO:0005618 // GO:0005576 // GO:0016020 // GO:0005886 // GO:0005829		lprN // mce4E // Rv3495c
G185E-4297	TU185E-5250			GO:0005576		lprO // Rv0179c
G185E-5118	TU185E-5664			GO:0016020 // GO:0005886		lprP // Rv0962c
G185E-4611	TU185E-5408		GO:0018104 // GO:0006508 // GO:0071555 // GO:0009252 // GO:0008360	GO:0005576	GO:0071972 // GO:0016746 // GO:0016740	lprQ // Rv0483
G185E-7565	TU185E-6861		GO:0043200	GO:0005829	GO:0043565 // GO:0003700 // GO:0003677	lrpA // Rv3291c
G185E-5727	TU185E-5966	PWY-7884	GO:0040007 // GO:0006508 // GO:0006497	GO:0016021 // GO:0016020 // GO:0005886	GO:0016787 // GO:0008233 // GO:0004190	lspA // Rv1539
G185E-7876	TU185E-7015		GO:0071453 // GO:0042542 // GO:0042262 // GO:0040007 // GO:0010039 // GO:0006355	GO:0009295 // GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618	GO:0016746 // GO:0003677	lsr2 // Rv3597c
G185E-7039	TU185E-6623		GO:0006635	GO:0005829 // GO:0005618	GO:0003985 // GO:0016746 // GO:0016740 // GO:0003988 // GO:0016747	ltp1 // Rv2790c
G185E-7817	TU185E-6986	PWY-6947 // PWY-6945 // PWY-6946	GO:0008203 // GO:0008202 // GO:0006629 // GO:0006707		GO:0016829 // GO:0016746 // GO:0016747	ltp2 // Rv3540c
G185E-7800	TU185E-6977				GO:0016746 // GO:0016747	ltp3 // Rv3523
G185E-7799	TU185E-6977		GO:0010124 // GO:0006635	GO:0005829	GO:0016746 // GO:0003988	ltp4 // Rv3522
G185E-5467	TU185E-5852	DAPLYSINESYN-PWY	GO:0040007 // GO:0009089 // GO:0009085 // GO:0008652	GO:0005829 // GO:0005618	GO:0030170 // GO:0016831 // GO:0016829 // GO:0008836 // GO:0005515 // GO:0003824	lysA // Rv1293
G185E-6186	TU185E-6185		GO:1903401 // GO:0080144 // GO:0003333 // GO:1903826 // GO:0006865	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0015661 // GO:0015171 // GO:0061459	lysE // Rv1986
G185E-7877	TU185E-7016	TRNA-CHARGING-PWY	GO:0040007 // GO:0006430 // GO:0006418 // GO:0006412	GO:0005829 // GO:0005737	GO:0000287 // GO:0000049 // GO:0046872 // GO:0016874 // GO:0005524 // GO:0004824 // GO:0004812 // GO:0003676 // GO:0000166	lysS // Rv3598c
G185E-4982	TU185E-5597	PWY0-1479 // TRNA-CHARGING-PWY				lysT
G185E-6756	TU185E-6480	PWY0-1479 // TRNA-CHARGING-PWY	GO:0018215 // GO:0046677 // GO:0046471 // GO:0030322 // GO:0008654 // GO:0008152 // GO:0006629 // GO:0006430 // GO:0006418	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618	GO:0000287 // GO:0000049 // GO:0050071 // GO:0046872 // GO:0016874 // GO:0016740 // GO:0005524 // GO:0004824 // GO:0004812 // GO:0003824 // GO:0003677 // GO:0003676 // GO:0000166	lysU
G185E-5830	TU185E-6008	TRNA-CHARGING-PWY	GO:0018215 // GO:0046677 // GO:0046471 // GO:0030322 // GO:0008654 // GO:0008152 // GO:0006629 // GO:0006430 // GO:0006418	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005829 // GO:0005737 // GO:0005618	GO:0000287 // GO:0000049 // GO:0050071 // GO:0046872 // GO:0016874 // GO:0016740 // GO:0005524 // GO:0004824 // GO:0004812 // GO:0003824 // GO:0003677 // GO:0003676 // GO:0000166	lysX // Rv1640c
G185E-7658	TU185E-6908		GO:0016114 // GO:0050992 // GO:0019288 // GO:0008299	GO:0005829	GO:0051539 // GO:0051745 // GO:0051536 // GO:0046872 // GO:0016491	lytB1 // Rv3382c
G185E-5275	TU185E-7568		GO:0016114 // GO:0050992 // GO:0019288 // GO:0008299	GO:0005829	GO:0051539 // GO:0051745 // GO:0051536 // GO:0046872 // GO:0016491	lytB2 // Rv1110
G185E-4244	TU185E-5227	PWY-7900	GO:0046835 // GO:0040007 // GO:0016310 // GO:0005992 // GO:0005978 // GO:0005977 // GO:0005975	GO:0005886 // GO:0005829	GO:0005515 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0000166	mak // Rv0127
G185E-5977	TU185E-7474		GO:0005977 // GO:0005975	GO:0005829 // GO:0005737	GO:0102500 // GO:0016757 // GO:0016740 // GO:0004134	malQ // Rv1781c
G185E-7529	TU185E-6846	PWY-5659 // MANNCAT-PWY	GO:0006486 // GO:0000032 // GO:0040007 // GO:0009298 // GO:0005975	GO:0005886 // GO:0005829	GO:0046872 // GO:0016853 // GO:0008270 // GO:0004476	manA // Rv3255c
G185E-7538	TU185E-6850	PWY-5659	GO:0009058	GO:0005737 // GO:0005829	GO:0016779 // GO:0016740	manB // hddC // Rv3264c
G185E-4879	TU185E-5540		GO:0070084 // GO:0035551 // GO:0006555 // GO:0006508	GO:0005886	GO:0070006 // GO:0050897 // GO:0046872 // GO:0030145 // GO:0016787 // GO:0016151 // GO:0008233 // GO:0005506 // GO:0004177	mapA // Rv0734
G185E-7112	TU185E-6653		GO:0070084 // GO:0035551 // GO:0006555 // GO:0006508	GO:0005829	GO:0070006 // GO:0050897 // GO:0046872 // GO:0030145 // GO:0016787 // GO:0016151 // GO:0008233 // GO:0005506 // GO:0004177	mapB // Rv2861c
G185E-7193	TU185E-7327	PWY-7744 // PWY-7743	GO:0071770 // GO:0044281 // GO:0071704 // GO:0006633 // GO:0006629 // GO:0006631 // GO:0008152	GO:0005737 // GO:0005886	GO:0004312 // GO:0004315 // GO:0016746 // GO:0016740 // GO:0031177 // GO:0016491 // GO:0003824	mas // Rv2940c
G185E-4583	TU185E-5389					mazE1 // Rv0456B
G185E-4803	TU185E-5507		GO:0006355			mazE2 // Rv0660c
G185E-5268	TU185E-5754		GO:0098754 // GO:0045927 // GO:0045926		GO:0097351 // GO:0005515	mazE3 // Rv1103c
G185E-5679	TU185E-5939					mazE4 // Rv1494
G185E-6140	TU185E-6167		GO:0045927			mazE5 // Rv1943c
G185E-6193	TU185E-6190		GO:0098754 // GO:0045927 // GO:0045926 // GO:0006355		GO:0097351 // GO:0005515 // GO:0003677	mazE6 // Rv1991A
G185E-6267	TU185E-6226		GO:0098754 // GO:0045927		GO:0097351 // GO:0005515 // GO:0003677	mazE7 // Rv2063
G185E-6492	TU185E-6337					mazE8 // Rv2274A
G185E-7051	TU185E-6627		GO:0098754 // GO:0006355 // GO:0045927		GO:0097351 // GO:0005515	mazE9 // Rv2801A
G185E-4582	TU185E-5389		GO:0090502 // GO:0016075 // GO:0006402 // GO:0090305		GO:0004521 // GO:0016787 // GO:0004519 // GO:0004518 // GO:0003677	mazF1 // mt2 // Rv0456A
G185E-4802	TU185E-5507		GO:0090502 // GO:0016075 // GO:0006402 // GO:0090305		GO:0004521 // GO:0016787 // GO:0004519 // GO:0004518 // GO:0003677	mazF2 // mt4 // Rv0659c
G185E-5267	TU185E-5754		GO:0044003 // GO:0090502 // GO:0090305 // GO:0045927 // GO:0045926 // GO:0045892 // GO:0017148 // GO:0016075 // GO:0006402		GO:0016787 // GO:0005515 // GO:0004521 // GO:0004519 // GO:0004518 // GO:0003677	mazF3 // mt6 // Rv1102c
G185E-5680	TU185E-5939		GO:0090502 // GO:0016075 // GO:0006402 // GO:2000372 // GO:0090305		GO:0004521 // GO:0016787 // GO:0004519 // GO:0004518 // GO:0003677	mazF4 // mt7 // Rv1495
G185E-6139	TU185E-6167		GO:0090502 // GO:0016075 // GO:0006402 // GO:0090305 // GO:0045926		GO:0004521 // GO:0016787 // GO:0004519 // GO:0004518 // GO:0003677	mazF5 // mt5 // Rv1942c
