Genes	Transcription Units	Pathways of gene	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Names
G185E-5495	TU185E-5865		GO:0006285 // GO:0051409 // GO:0032259 // GO:0008152 // GO:0006974 // GO:0006355 // GO:0006307 // GO:0006284 // GO:0006281	GO:0032993 // GO:0005737 // GO:0005829 // GO:0005886 // GO:0005618	GO:0032131 // GO:0052822 // GO:0052821 // GO:0046872 // GO:0043916 // GO:0043565 // GO:0016787 // GO:0016740 // GO:0008725 // GO:0008270 // GO:0008168 // GO:0003905 // GO:0003824 // GO:0003700 // GO:0003677	alkA // ada // Rv1317c
G185E-7526	TU185E-6844	P221-PWY	GO:0043448 // GO:0006629	GO:0016021 // GO:0016020 // GO:0005886	GO:0018685 // GO:0016491 // GO:0080133 // GO:0004497	alkB // Rv3252c
G185E-7700	TU185E-6927		GO:0040007 // GO:0030632 // GO:0009252 // GO:0006522	GO:0005829	GO:0030170 // GO:0016853 // GO:0008784 // GO:0005515 // GO:0003824	alr // Rv3423c
G185E-7579	TU185E-6867				GO:0016787	amiA1 // amiA // Rv3305c
G185E-6589	TU185E-7396			GO:0005829	GO:0003824 // GO:0043864 // GO:0016787 // GO:0004040	amiA2 // Rv2363
G185E-7580	TU185E-6867		GO:0046657 // GO:0006508	GO:0005737 // GO:0005829	GO:0071713 // GO:0016805 // GO:0016787	amiB1 // amiB // Rv3306c
G185E-5434	TU185E-5833			GO:0005829	GO:0003824 // GO:0043864 // GO:0016787 // GO:0004040	amiB2 // Rv1263
G185E-7140	TU185E-6668			GO:0005829 // GO:0005886 // GO:0005618	GO:0003824 // GO:0043864 // GO:0016787 // GO:0004040	amiC // Rv2888c
G185E-7651	TU185E-6904			GO:0005829	GO:0003824 // GO:0043864 // GO:0016787 // GO:0004040	amiD // Rv3375
G185E-7172	TU185E-6681		GO:0019740 // GO:0072488	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0008519 // GO:0005215	amt // Rv2920c
G185E-5726	TU185E-7502	ASPARAGINE-DEG1-PWY	GO:0006528 // GO:0006530 // GO:0006520	GO:0005576 // GO:0042597 // GO:0005829 // GO:0005737	GO:0016787 // GO:0004067	ansA // Rv1538c
G185E-6333	TU185E-6256		GO:0055085 // GO:0006865	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576	GO:0005215	ansP1 // Rv2127
G185E-4470	TU185E-7660		GO:0055085 // GO:0006865	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005576	GO:0005215	ansP2 // aroP2 // Rv0346c
G185E-7435	TU185E-6794			GO:0005886 // GO:0005829	GO:0016491	aofH // Rv3170
G185E-6055	TU185E-6126		GO:0052559 // GO:0009267	GO:0009986 // GO:0005576	GO:0050840	apa // modD // mpt32 // Rv1860
G185E-6623	TU185E-6414					aprA // Rv2395A
G185E-6624	TU185E-6415					aprB // Rv2395B
G185E-6826	TU185E-6509	P121-PWY // PWY-6605	GO:0044209 // GO:0009116 // GO:0006168 // GO:0006166	GO:0005829 // GO:0005886 // GO:0005737	GO:0016757 // GO:0016740 // GO:0003999	apt // Rv2584c
G185E-5159	TU185E-7580	ARGDEGRAD-PWY	GO:0019546 // GO:0019547 // GO:0018101 // GO:0006527 // GO:0006525	GO:0005829 // GO:0005886 // GO:0005737	GO:0016990 // GO:0016787	arcA // Rv1001
G185E-6996	TU185E-7344	ARGSYN-PWY // GLUTORN-PWY // ARGSYNBSUB-PWY	GO:0051289 // GO:0042450 // GO:0040007 // GO:0008652 // GO:0006526	GO:0005737 // GO:0005829	GO:0103045 // GO:0042803 // GO:0016746 // GO:0016740 // GO:0008080 // GO:0004042	argA // Rv2747
G185E-5844	TU185E-6015	ARGSYN-PWY // GLUTORN-PWY // ARGSYNBSUB-PWY	GO:0042450 // GO:0040007 // GO:0016310 // GO:0008652 // GO:0006526	GO:0005829 // GO:0005886 // GO:0005737 // GO:0005618	GO:0034618 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0003991 // GO:0000166	argB // Rv1654
G185E-5842	TU185E-6015	ARGSYN-PWY // GLUTORN-PWY // ARGSYNBSUB-PWY	GO:0040007 // GO:0008652 // GO:0006526	GO:0005829 // GO:0005737	GO:0070401 // GO:0051287 // GO:0046983 // GO:0016620 // GO:0016491 // GO:0005515 // GO:0003942	argC // Rv1652
G185E-5845	TU185E-6015	ARGSYN-PWY // GLUTORN-PWY // ARGSYNBSUB-PWY	GO:0040007 // GO:0008652 // GO:0006526 // GO:0006525	GO:0005829 // GO:0005737	GO:0042802 // GO:0030170 // GO:0016740 // GO:0008483 // GO:0003992 // GO:0003824	argD // Rv1655
G185E-5846	TU185E-6015	ARGDEGRAD-PWY // ARGSYN-PWY // ARGSYNBSUB-PWY // CITRULLINE-DEG-PWY	GO:0019240 // GO:0042450 // GO:0000050 // GO:0040007 // GO:0008652 // GO:0006591 // GO:0006526 // GO:0006520	GO:0005829 // GO:0005737	GO:0016743 // GO:0016740 // GO:0016597 // GO:0004585	argF // OTC // Rv1656
G185E-5848	TU185E-6015	ARGSYN-PWY // ARGSYNBSUB-PWY	GO:0040007 // GO:0008652 // GO:0006526 // GO:0000053 // GO:0000050	GO:0005886 // GO:0005829 // GO:0005737	GO:0016874 // GO:0005524 // GO:0004055 // GO:0000166	argG // Rv1658
G185E-5849	TU185E-6015	ARGSYN-PWY // ARGSYNBSUB-PWY	GO:0051289 // GO:0042450 // GO:0040007 // GO:0008652 // GO:0006526	GO:0005829 // GO:0005737 // GO:0005618	GO:0016829 // GO:0004056 // GO:0003824	argH // Rv1659
G185E-5843	TU185E-6015	ARGSYNBSUB-PWY	GO:0040007 // GO:0008652 // GO:0008152 // GO:0006592 // GO:0006526	GO:0005829 // GO:0005737	GO:0103045 // GO:0016746 // GO:0016740 // GO:0005515 // GO:0004358 // GO:0004042 // GO:0003824	argJ // Rv1653
G185E-5847	TU185E-6015		GO:0051259 // GO:0008652 // GO:0006526 // GO:0006525 // GO:0006355	GO:0005829 // GO:0005737	GO:0034618 // GO:0003700 // GO:0003677	argR // ahrC // Rv1657
G185E-5466	TU185E-5852	TRNA-CHARGING-PWY	GO:0040007 // GO:0006420 // GO:0006418 // GO:0006412	GO:0005886 // GO:0005829 // GO:0005737	GO:0016874 // GO:0005524 // GO:0004814 // GO:0004812 // GO:0000166	argS // Rv1292
G185E-5074	TU185E-5642	PWY0-1479 // TRNA-CHARGING-PWY				argT
G185E-8065	TU185E-7120	PWY0-1479 // TRNA-CHARGING-PWY				argU
G185E-5465	TU185E-5851	PWY0-1479 // TRNA-CHARGING-PWY				argV
G185E-6721	TU185E-6464	PWY0-1479 // TRNA-CHARGING-PWY				argW
G185E-7501	TU185E-6830	PWY-6629 // PWY-6630 // ARO-PWY // PWY-6163	GO:0009423 // GO:0009073 // GO:0008652	GO:0005886 // GO:0005737	GO:0016765 // GO:0016740 // GO:0003866 // GO:0003824	aroA // Rv3227
G185E-6777	TU185E-6488	PWY-6629 // PWY-6630 // ARO-PWY // PWY-6164	GO:0040007 // GO:0009423 // GO:0009073 // GO:0008652	GO:0005829 // GO:0005886 // GO:0005737 // GO:0005618	GO:0046872 // GO:0000166 // GO:0016838 // GO:0016829 // GO:0008270 // GO:0005507 // GO:0003856	aroB // Rv2538c
G185E-6776	TU185E-6488	PWY-6629 // PWY-6630 // ARO-PWY // PWY-6163	GO:0019631 // GO:0040007 // GO:0009423 // GO:0009073 // GO:0008652	GO:0005829	GO:0016829 // GO:0003855	aroD // aroQ // Rv2537c
G185E-6792	TU185E-6495	PWY-6629 // PWY-6630 // ARO-PWY // PWY-6163	GO:0009073 // GO:0008652 // GO:0019632 // GO:0009423	GO:0005829 // GO:0005737	GO:0050661 // GO:0004764	aroE // Rv2552c
G185E-6779	TU185E-6488	PWY-6629 // PWY-6630 // ARO-PWY // PWY-6163	GO:0040007 // GO:0009423 // GO:0009073 // GO:0008652	GO:0005829	GO:0051287 // GO:0016829 // GO:0016651 // GO:0010181 // GO:0004107	aroF // aroC // Rv2540c
G185E-6388	TU185E-6284	PWY-6629 // PWY-6630 // ARO-PWY // PWY-6164	GO:0051260 // GO:0040007 // GO:0009423 // GO:0009073 // GO:0008652	GO:0005829 // GO:0005886 // GO:0005618	GO:0003824 // GO:0046872 // GO:0030145 // GO:0016740 // GO:0005515 // GO:0003849	aroG // Rv2178c
G185E-6778	TU185E-6488	PWY-6629 // PWY-6630 // ARO-PWY // PWY-6163	GO:0040007 // GO:0019632 // GO:0016310 // GO:0009423 // GO:0009073 // GO:0008652	GO:0005829 // GO:0005737	GO:0046872 // GO:0016740 // GO:0016301 // GO:0005524 // GO:0004765 // GO:0000287 // GO:0000166	aroK // Rv2539c
G185E-6932	TU185E-6565		GO:0055085 // GO:0015700	GO:0016021 // GO:0016020 // GO:0005886	GO:0015105	arsA // Rv2684
G185E-6933	TU185E-6566		GO:0055085 // GO:0015700	GO:0016021 // GO:0016020 // GO:0005886	GO:0015105	arsB1 // arsB // Rv2685
G185E-7856	TU185E-7001		GO:0015700	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0015105	arsB2 // Rv3578
G185E-6887	TU185E-6543		GO:0055085 // GO:0015700 // GO:0015699	GO:0005886 // GO:0016021 // GO:0016020	GO:0005215 // GO:0015297 // GO:0015105 // GO:0015104 // GO:0015103	arsC // Rv2643
G185E-5920	TU185E-7487					AS1726
G185E-6087	TU185E-6147					AS1890
G185E-7995	TU185E-7078	PWY-3001 // PWY-5345 // THRESYN-PWY // DAPLYSINESYN-PWY // HOMOSERSYN-PWY	GO:0071266 // GO:0040007 // GO:0019877 // GO:0009097 // GO:0009089 // GO:0009088 // GO:0009086 // GO:0009085 // GO:0008652 // GO:0006520	GO:0005829 // GO:0005886 // GO:0005618	GO:0051287 // GO:0050661 // GO:0046983 // GO:0016620 // GO:0016491 // GO:0005515 // GO:0004073	asd // Rv3708c
G185E-4974	TU185E-7612					ASdes
G185E-7996	TU185E-7078	PWY-3001 // PWY-5345 // THRESYN-PWY // DAPLYSINESYN-PWY // HOMOSERSYN-PWY	GO:0009090 // GO:0040007 // GO:0019877 // GO:0016310 // GO:0009089 // GO:0009088 // GO:0009085 // GO:0008652	GO:0005737 // GO:0005829 // GO:0005886 // GO:0005618	GO:0016740 // GO:0016301 // GO:0005524 // GO:0004072 // GO:0000166	ask // Rv3709c
G185E-6411	TU185E-7417	ASPARAGINE-BIOSYNTHESIS // GLUTAMINDEG-PWY // PWY490-4 // PWY-5921 // PWY0-1325 // ASPARAGINESYN-PWY	GO:0070981 // GO:0040007 // GO:0008652 // GO:0006541 // GO:0006529	GO:0005886 // GO:0005829 // GO:0005576	GO:0016874 // GO:0005524 // GO:0004066 // GO:0000166	asnB // Rv2201
G185E-6566	TU185E-6382	TRNA-CHARGING-PWY // PWY490-4 // PWY0-1479				asnT
G185E-7842	TU185E-6996	PWY-3001 // PWY-5345 // THRESYN-PWY // ASPARTATESYN-PWY // ASPARTATE-DEG1-PWY // PHESYN	GO:0006520 // GO:0009058	GO:0005618	GO:0009042 // GO:0030170 // GO:0016740 // GO:0008483 // GO:0003824	aspB // Rv3565
G185E-4461	TU185E-5330	PWY-3001 // PWY-5345 // THRESYN-PWY // ASPARTATESYN-PWY // ASPARTATE-DEG1-PWY // PHESYN	GO:0040007 // GO:0009058	GO:0005829 // GO:0005886 // GO:0005737	GO:0004021 // GO:0030170 // GO:0016740 // GO:0008483 // GO:0003824	aspC // Rv0337c
G185E-6252	TU185E-7442					ASpks
G185E-6814	TU185E-6506	PWY490-4	GO:0006422 // GO:0006418 // GO:0006412	GO:0005829 // GO:0005737 // GO:0005618	GO:0004815 // GO:0050560 // GO:0016874 // GO:0005524 // GO:0004812 // GO:0003676 // GO:0000166	aspS // Rv2572c
G185E-4984	TU185E-5598	TRNA-CHARGING-PWY // PWY0-1479				aspT
G185E-5482	TU185E-5857		GO:0022900 // GO:0006979 // GO:0046034 // GO:0040007 // GO:1902600 // GO:0015986 // GO:0006811 // GO:0006754	GO:0005829 // GO:0045261 // GO:0016020 // GO:0005886 // GO:0005618	GO:0016887 // GO:0046961 // GO:0043531 // GO:0032559 // GO:0046933 // GO:0005524 // GO:0000166	atpA // Rv1308
G185E-5478	TU185E-5857		GO:0042777 // GO:0015986 // GO:0006811 // GO:0006754	GO:0045263 // GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0046933 // GO:0015078	atpB // Rv1304
G185E-5485	TU185E-5857		GO:0040007 // GO:0015986 // GO:0006811 // GO:0006754	GO:0005829 // GO:0045261 // GO:0016020 // GO:0005886 // GO:0005618	GO:0005524 // GO:0046933	atpC // Rv1311
