sample	tb_profiler_strain	mixed_strain
DRR019435	lineage2.2.1	no
DRR019436	lineage2.2.1	no
DRR019437	lineage2.2.1	no
DRR019438	lineage2.2.1	no
DRR019439	lineage2.2.1	no
DRR019440	lineage2.2.1	no
DRR019441	lineage2.2.1	no
DRR019442	lineage2.2.1	no
DRR019443	lineage2.2.1	no
DRR019444	lineage2.2.1	no
ERR023728	lineage4.1.2.1	no
ERR023729	lineage4.7	no
ERR023730	lineage4.1.2.1	no
ERR023731	lineage4.1.2.1	no
ERR023732	lineage4.1.2.1	no
ERR023733	lineage4.7	no
ERR023734	lineage4.7	no
ERR023735	lineage4.7	no
ERR023736	lineage4.7	no
ERR023737	lineage4.7	no
ERR023738	lineage4.7	no
ERR023739	lineage4.1.2.1	no
ERR023740	lineage4.1.2.1	no
ERR023741	lineage4.1.2.1;lineage3	yes
ERR023742	lineage3.1.3	no
ERR023743	lineage3	no
ERR023744	lineage4.1.2.1	no
ERR023745	lineage3.1.3	no
ERR023746	lineage4.1.2.1	no
ERR023747	lineage4.1.2.1	no
ERR023748	lineage4.1.2.1	no
ERR023749	lineage3	no
ERR023750	lineage3	no
ERR023751	lineage3	no
ERR023752	lineage3	no
ERR023753	lineage4.3.2	no
ERR023754	lineage4.1.2.1	no
ERR023755	lineage4.3.2	no
ERR023756	lineage4.3.2	no
ERR023757	lineage4.1.2.1	no
ERR023758	lineage4.1.2.1	no
ERR023759	lineage4.1.2.1	no
ERR023760	lineage4.1.2.1	no
ERR023761	lineage4.3.2	no
ERR023762	lineage4.3.2	no
ERR023763	lineage1.2.1.2.1	no
ERR023764	lineage4.3.2	no
ERR024336	lineage4.3.2	no
ERR024337	lineage4.3.2	no
ERR024338	lineage4.3.2	no
ERR024339	lineage4.3.2	no
ERR024340	lineage4.3.2	no
ERR024341	lineage4.3.2	no
ERR024342	lineage4.3	no
ERR024343	lineage4.3	no
ERR024344	lineage4.3.2	no
ERR024345	lineage4.3.2	no
ERR024346	lineage4.3.2	no
ERR024347	lineage4.3.2	no
ERR024348	lineage4.4;lineage2.2.1	yes
ERR024349	lineage4.3.2	no
ERR024350	lineage2.2.1	no
ERR024351	lineage2.2.1	no
ERR024352	lineage4.3.2	no
ERR024353	lineage4.8	no
ERR024354	lineage4.8	no
ERR024355	lineage4.8	no
ERR024356	lineage4.8	no
ERR024357	lineage4.8	no
ERR024358	lineage4.4.1.1	no
ERR024359	lineage4.4.1.1	no
ERR025413	lineage4.3.2;lineage4.1.2.1	yes
ERR025414	lineage4.1.2.1	no
ERR025415	lineage4.1.2	no
ERR025416	lineage4.3.2	no
ERR025417	lineage4.1.2.1	no
ERR025418	lineage4.1.2.1	no
ERR025419	lineage4.1.2.1	no
ERR025420	lineage4.1.2.1	no
ERR025421	lineage4.1.2.1	no
ERR025422	lineage4.1.2.1	no
ERR025423	lineage4.1.2.1	no
ERR025424	lineage4.1.2.1	no
ERR025425	lineage4.2.2;lineage4.1.2	yes
ERR025426	lineage4.1.2.1	no
ERR025427	lineage4.2.2.1	no
ERR025428	lineage4.2.2.1	no
ERR025429	lineage4.1.2.1	no
ERR025430	lineage4.1.2.1	no
ERR025431	lineage4.1.2.1	no
ERR025432	lineage4.2.2.1	no
ERR025433	lineage4.2.2.1	no
ERR025434	lineage4.2.2.1	no
ERR025435	lineage4.2.2.1	no
ERR025436	lineage4.2.2.1	no
ERR025437	lineage4.2.2.1;lineage4.1.2.1;lineage2.2.2;lineage1.2.1.2.1	yes
ERR025438	lineage4.2.2.1	no
ERR025439	lineage2.2.2	no
ERR025440	lineage4.1.2.1	no
ERR025441	lineage4.1.2.1	no
ERR025442	lineage1.2.1.2.1	no
ERR025443	lineage1.2.1.2.1	no
ERR025444	lineage1.2.1.2.1	no
ERR025445	lineage1.2.1.2.1	no
ERR025446	lineage1.2.1.2.1	no
ERR025447	lineage1.2.1.2.1	no
ERR025448	lineage1.2.1.2.1	no
ERR025449	lineage4.3.4	no
ERR025450	lineage4.3.2	no
ERR025451	lineage4.3.2	no
ERR025452	lineage4.8	no
ERR025453	lineage4.3.2	no
ERR025454	lineage4.3.2	no
ERR025455	lineage4.3.2	no
ERR025456	lineage4.3.4.2	no
ERR025457	lineage4.3.4.1	no
ERR025458	lineage4.3.2	no
ERR025459	lineage4.3.2	no
ERR025460	lineage4.3.2	no
ERR025832	lineage3.1.1	no
ERR025833	lineage3.1.1	no
ERR025834	lineage3.1.1	no
ERR025835	lineage3	no
ERR025836	lineage3	no
ERR025837	lineage4.8.2	no
ERR025838	lineage4.8.2	no
ERR025839	lineage2.2.1	no
ERR025840	lineage2.2.1	no
ERR025841	lineage4.3.2.1;lineage4.1.2.1	yes
ERR025842	lineage4.2.2	no
ERR025843	lineage4.2.2	no
ERR025844	lineage4.2.2	no
ERR025845	lineage4.3.2.1	no
ERR025846	lineage4.2.2	no
ERR025847	lineage4.1.2.1	no
ERR025848	lineage4.1.2.1	no
ERR026471	lineage4.8;lineage4.2.2.2;lineage2.2.1.1	yes
ERR026472	lineage4.8	no
ERR026473	lineage2.2.1	no
ERR026474	lineage2.2.1	no
ERR026475	lineage4.8	no
ERR026476	lineage4.2.2.2	no
ERR026477	lineage2.2.1	no
ERR026478	lineage2.2.1	no
ERR026479	lineage2.2.1	no
ERR026480	lineage2.2.1.1	no
ERR026481	lineage2.2.1.1	no
ERR026482	lineage2.2.1.1	no
ERR028606	lineage4.4.1.2;lineage4.3;lineage4.1.2;lineage2.2.1	yes
ERR028607	lineage2.2.1	no
ERR028608	lineage4.4.1.2	no
ERR028609	lineage2.2.1	no
ERR028610	lineage4.3.4.2	no
ERR028611	lineage2.2.1	no
ERR028612	lineage4.1.2.1	no
ERR028613	lineage4.1.2.1	no
ERR028614	lineage4.1.2.1	no
ERR028615	lineage4.2.2.1	no
ERR028616	lineage4.2.2.1	no
ERR028617	lineage4.2.2.1	no
ERR028618	lineage4.3.4.2;lineage4.3.4.1;lineage4.3.2;lineage4.1.2.1;lineage2.2	yes
ERR028619	lineage2.2.1	no
ERR028620	lineage4.3.4.1	no
ERR028621	lineage4.8	no
ERR028622	lineage4.1.2.1	no
ERR028623	lineage2.2.2	no
ERR028624	lineage4.1.2.1	no
ERR028625	lineage4.1.2.1	no
ERR028626	lineage4.1.2.1	no
ERR028627	lineage4.1.2	no
ERR028628	lineage4.3.2	no
ERR028629	lineage4.3.4.2	no
ERR029200	lineage4.8;lineage2.2.1.1	yes
ERR029201	lineage4.8	no
ERR029202	lineage4.8	no
ERR029203	lineage2.2.1.1	no
ERR029204	lineage4.2.2.2	no
ERR029205	lineage2.2.1	no
ERR029206	lineage2.2.1	no
ERR029207	lineage2.2.1	no
ERR029208	NA	NA
ERR029209	lineage2.2.1	no
ERR029210	lineage2.2.1	no
ERR029211	lineage4.8	no
ERR038253	lineage4.1.1.3.1	no
ERR038254	lineage4.8.2	no
ERR038255	lineage4.8.2	no
ERR038256	lineage4.1.1.3.1	no
ERR038257	lineage4.1.1.3.1	no
ERR038258	lineage1.2.2.1	no
ERR038259	lineage1.2.2.1	no
ERR038260	lineage3.1.2.1	no
ERR038261	lineage3.1.2.1	no
ERR038262	lineage3.1.2.1	no
ERR038263	lineage3.1.2.1	no
ERR038264	lineage3.1.1	no
ERR038265	lineage3.1.1	no
ERR038266	lineage3.1.1	no
ERR038267	lineage4.2.2.2	no
ERR038268	NA	NA
ERR038269	lineage3.1.1	no
ERR038270	lineage3.1.1	no
ERR038271	lineage3.1.1	no
ERR038272	lineage3.1.1	no
ERR038273	lineage3.1.1	no
ERR038274	lineage4.1.1.3.1	no
ERR038275	lineage4.1.1.3.1	no
ERR038276	lineage4.1.1.3.1	no
ERR038277	lineage4.1.1	no
ERR038278	lineage4.1.1	no
ERR038279	lineage4.1.1.3.1	no
ERR038280	lineage3	no
ERR038281	lineage4.1.1.3.1	no
ERR038282	lineage4.4.1.2	no
ERR038283	lineage4.8.2	no
ERR038284	lineage4.8.2	no
ERR038285	lineage4.1.1.3.1	no
ERR038286	lineage4.1.1.3.1	no
ERR038287	lineage3	no
ERR038288	lineage3	no
ERR038289	lineage4.3.3	no
ERR038290	lineage4.3.3	no
ERR038291	lineage4.2.2	no
ERR038292	lineage4.2.2	no
ERR038293	lineage4.3.3	no
ERR038294	lineage4.1.1.3.1	no
ERR038295	lineage4.1.1.3.1	no
ERR038296	lineage4.1.1.3.1	no
ERR038297	lineage4.1.1.3.1	no
ERR038298	lineage3.1.1	no
ERR038299	lineage3.1.1	no
ERR038300	lineage3.1.1	no
ERR038736	lineage4.3.4.2	no
ERR038737	lineage4.3.4.2.1	no
ERR038738	lineage4.6.1.1	no
ERR038739	lineage4.6.1.2	no
ERR038740	lineage4.6.1.2	no
ERR038741	lineage4.2.2.2	no
ERR038742	lineage4.8	no
ERR038743	lineage3	no
ERR038744	lineage4.3.4.2.1	no
ERR038745	lineage4.3.4.2.1	no
ERR038746	lineage2.2.1	no
ERR038747	lineage4.8	no
ERR038748	lineage4.6.1.2	no
ERR038749	lineage4.6.1.2	no
ERR038750	lineage4.6.1.2	no
ERR038751	lineage4.1.1.3	no
ERR038752	lineage3.1.2.1	no
ERR038753	lineage3.1.2.1	no
ERR038754	lineage4.4.1.1	no
ERR038755	lineage4.1.1.3	no
ERR039323	lineage3.1.1	no
ERR039324	lineage3.1.2.2	no
ERR039325	lineage4.1.1.1	no
ERR039326	lineage4.1.1.1	no
ERR039327	lineage4.1.1.1	no
ERR039328	lineage4.1.1.1	no
ERR039329	lineage4.1.1.1	no
ERR039330	lineage4.3.4.2.1	no
ERR039331	lineage3	no
ERR039332	lineage3	no
ERR039333	lineage3	no
ERR039334	lineage3	no
ERR039335	lineage4.3.1.1	no
ERR039336	lineage4.3.1.1	no
ERR039337	lineage4.3.1.1	no
ERR039338	lineage4.3.1.1	no
ERR039339	lineage4.8	no
ERR039340	lineage4.8	no
ERR039341	lineage4.8	no
ERR039342	lineage4.8	no
ERR039343	lineage4.4.1.2	no
ERR039344	lineage4.1.2.1	no
ERR039345	lineage4.2.2	no
ERR039346	lineage4.1.1.3.1	no
ERR040086	lineage3.1.1	no
ERR040087	lineage3.1.1	no
ERR040088	lineage3.1.1	no
ERR040089	lineage3.1.1	no
ERR040090	lineage3.1.1	no
ERR040091	lineage3.1.1	no
ERR040092	lineage3.1.1	no
ERR040093	lineage3.1.1	no
ERR040094	lineage4.8.2	no
ERR040095	lineage4.8.2	no
ERR040096	lineage4.8.2	no
ERR040097	lineage4.8.2	no
ERR040098	lineage4.8.2	no
ERR040099	lineage4.8.2	no
ERR040100	lineage4.8.2	no
ERR040101	lineage4.8.2	no
ERR040102	lineage4.8.2	no
ERR040103	lineage4.8.2	no
ERR040104	lineage4.8.2	no
ERR040105	lineage4.8.2	no
ERR040106	lineage3.1.1	no
ERR040107	lineage3.1.1	no
ERR040108	lineage3.1.1	no
ERR040109	lineage4.1.1.1	no
ERR040112	lineage4.3.4.2.1	no
ERR040113	lineage4.3.4.2.1	no
ERR040114	lineage3.1.2.1	no
ERR040115	lineage4.1.1.3	no
ERR040116	lineage4.3.4.2.1	no
ERR040117	lineage4.3.4.2.1	no
ERR040118	lineage3	no
ERR040119	lineage3.1.2.1	no
ERR040120	lineage4.3.4.2.1	no
ERR040121	lineage1.1.2	no
ERR040122	lineage4.8	no
ERR040123	lineage3.1.2.1	no
ERR040124	lineage4.4.1.1	no
ERR040125	lineage4.6.1.2	no
ERR040126	lineage3.1.1	no
ERR040127	lineage4.6.1.2	no
ERR040128	lineage4.4.1.1	no
ERR040129	lineage3	no
ERR040130	lineage4.4.1.1	no
ERR040131	lineage4.6.1.2	no
ERR040132	lineage4.3.3	no
ERR040133	lineage3.1.1	no
ERR040134	lineage4.3.4.2.1	no
ERR040135	lineage4.6.1.2	no
ERR040136	lineage3	no
ERR040137	lineage4.1.1.3	no
ERR040138	lineage4.9	no
ERR040139	lineage3	no
ERR040140	lineage3	no
ERR040141	lineage3	no
ERR040142	lineage4.3.4.2.1	no
ERR046729	lineage3.1.1	no
ERR046730	lineage3.1.2.2	no
ERR046731	lineage4.1.1.1	no
ERR046732	lineage4.3.4.2.1	no
ERR046733	lineage4.1.1.1	no
ERR046734	lineage4.1.1.1	no
ERR046735	lineage4.1.1.1	no
ERR046736	lineage4.1.1.1	no
ERR046737	lineage4.1.1.1	no
ERR046738	lineage4.1.1.1	no
ERR046739	lineage4.1.1.1	no
ERR046740	lineage4.1.1.1	no
ERR046741	lineage4.1.1.1	no
ERR046742	lineage4.1.1.1	no
ERR046743	lineage4.1.1.1	no
ERR046744	lineage4.1.1.1	no
ERR046745	lineage4.1.1.1	no
ERR046746	lineage4.1.1.1	no
ERR046747	NA	NA
ERR046748	NA	NA
ERR046749	NA	NA
ERR046750	NA	NA
ERR046751	lineage4.8.2	no
ERR046752	lineage4.8.2	no
ERR046753	lineage4.8.2	no
ERR046754	lineage4.8.2	no
ERR046755	lineage4.8.2	no
ERR046756	lineage4.8.2	no
ERR046757	lineage4.8	no
ERR046758	lineage4.8.2	no
ERR046759	lineage4.8.2	no
ERR046760	lineage4.8.2	no
ERR046761	lineage4.8.2	no
ERR046762	lineage4.8.2	no
ERR046763	lineage4.8.2	no
ERR046764	lineage4.8.2	no
ERR046765	lineage4.8.2	no
ERR046766	lineage4.8.2	no
ERR046767	lineage4.8.2	no
ERR046768	lineage4.8.2	no
ERR046769	lineage3.1.1	no
ERR046770	lineage3.1.1	no
ERR046771	lineage3.1.1	no
ERR046772	lineage3.1.1	no
ERR046773	lineage3.1.1	no
ERR046774	NA	NA
ERR046775	lineage3.1.1	no
ERR046776	lineage4.8.1	no
ERR046777	lineage4.8.1	no
ERR046778	lineage4.8.1	no
ERR046779	lineage3	no
ERR046780	lineage3	no
ERR046781	lineage4.4.1.2	no
ERR046782	lineage4.1.1.3.1	no
ERR046783	lineage4.1.1.3.1	no
ERR046784	lineage4.1.1.3.1	no
ERR046785	lineage4.1.1.3.1	no
ERR046786	lineage4.1.1.3.1	no
ERR046787	lineage4.1.1.3.1	no
ERR046788	lineage4.1.1.3.1	no
ERR046789	lineage4.1.1.3.1	no
ERR046790	lineage4.1.1.3.1	no
ERR046791	lineage4.1.1.3.1	no
ERR046792	lineage4.1.1.3.1	no
ERR046793	lineage4.1.1.3.1	no
ERR046794	lineage4.1.1.3.1	no
ERR046795	lineage4.1.1.3.1	no
ERR046796	lineage4.8	no
ERR046797	lineage4.1.1.3.1	no
ERR046798	lineage4.1.1.3.1	no
ERR046799	lineage4.1.1.3.1	no
ERR046800	lineage4.1.1.3.1	no
ERR046801	lineage3	no
ERR046802	lineage3.1.2	no
ERR046803	lineage3	no
ERR046804	lineage3	no
ERR046805	lineage3	no
ERR046806	lineage3	no
ERR046807	lineage3	no
ERR046808	lineage3	no
ERR046809	lineage3	no
ERR046810	lineage3.1.2	no
ERR046811	lineage3	no
ERR046812	lineage3	no
ERR046813	lineage3	no
ERR046814	lineage3	no
ERR046815	lineage3.1.2	no
ERR046816	lineage3.1.2	no
ERR046817	lineage4.9	no
ERR046818	lineage3.1.2	no
ERR046819	lineage4.1.1.1	no
ERR046820	lineage4.8.2	no
ERR046821	lineage4.8	no
ERR046822	lineage4.1.1.3.1	no
ERR046823	lineage1.2.2.2	no
ERR046824	lineage1.2.2.2	no
ERR046825	lineage4.1.1.1	no
ERR046826	lineage3	no
ERR046827	lineage3	no
ERR046828	lineage3	no
ERR046829	lineage3	no
ERR046830	lineage3.1.2	no
ERR046831	lineage4.8	no
ERR046832	lineage1.1.2	no
ERR046833	lineage4.8	no
ERR046834	lineage4.6.2.2	no
ERR046835	lineage4.4.1.1	no
ERR046836	lineage4.3.4.2.1	no
ERR046837	lineage4.3.4.2.1	no
ERR046838	lineage4.6.2.1	no
ERR046839	lineage4.6.2.1	no
ERR046840	lineage4.1.1.1	no
ERR046841	lineage4.1.1.1	no
ERR046842	lineage4.1.1.1	no
ERR046843	lineage4.1.1.3.1	no
ERR046844	lineage1.2.2.1	no
ERR046845	lineage3.1.1	no
ERR046846	lineage3	no
ERR046847	lineage3.1.1	no
ERR046848	lineage1.2.2.1	no
ERR046849	lineage1.1.2	no
ERR046850	lineage1.2.2.2	no
ERR046851	lineage4.1.1.3.1	no
ERR046852	lineage4.1.1.3.1	no
ERR046853	lineage4.1.1.3.1	no
ERR046854	lineage3.1.1	no
ERR046855	lineage1.1.2	no
ERR046856	lineage1.1.2	no
ERR046857	lineage3.1.1	no
ERR046858	lineage3.1.1	no
ERR046859	lineage4.1.1.3	no
ERR046860	lineage3.1.1	no
ERR046861	lineage3.1.1	no
ERR046862	lineage3	no
ERR046863	lineage3	no
ERR046864	lineage4.1.4	no
ERR046865	lineage4.1.4	no
ERR046866	lineage3.1.1	no
ERR046867	lineage3.1.1	no
ERR046868	lineage4.1.1.3	no
ERR046869	lineage4.1.1.3	no
ERR046870	lineage4.3.4.2.1	no
ERR046871	lineage4.3.4.2.1	no
ERR046872	lineage4.1.2.1	no
ERR046873	lineage4.1.2.1	no
ERR046874	lineage4.1.2.1	no
ERR046875	lineage4.1.2.1	no
ERR046876	lineage4.8.2	no
ERR046877	lineage4.8.2	no
ERR046878	lineage4.8.2	no
ERR046879	lineage4.8.2	no
ERR046880	lineage1.2.2.2	no
ERR046881	lineage1.2.2.2	no
ERR046882	lineage3	no
ERR046883	lineage3	no
ERR046884	lineage4.3.4.2.1	no
ERR046885	lineage4.3.4.2.1	no
ERR046886	lineage1.2.2.1	no
ERR046887	lineage4.3.3	no
ERR046888	lineage4.8	no
ERR046889	lineage3.1.1	no
ERR046890	lineage4.8	no
ERR046891	lineage1.1.2	no
ERR046892	lineage4.4.2	no
ERR046893	lineage1.2.2.1	no
ERR046894	lineage4.3.3	no
ERR046895	lineage3	no
ERR046896	lineage1.1.2	no
ERR046897	lineage4.4.1.1	no
ERR046898	lineage1.2.2.1	no
ERR046899	lineage4.8	no
ERR046900	lineage1.1.2	no
ERR046901	lineage4.4.1.1	no
ERR046902	lineage4.1.1.3	no
ERR046903	lineage4.8	no
ERR046904	lineage4.1.1.3.1	no
ERR046905	lineage1.1.2	no
ERR046906	lineage4.1.1.1	no
ERR046907	lineage1.1.2	no
ERR046908	lineage4.1.1.3.1	no
ERR046909	lineage4.9	no
ERR046910	lineage4.1.1.3.1	no
ERR046911	lineage4.1.1.3.1	no
ERR046912	lineage4.1.1.1	no
ERR046913	lineage4.1.1.3.1	no
ERR046914	lineage3.1.1	no
ERR046915	lineage1.1.2	no
ERR046916	lineage4.1.1.1	no
ERR046917	lineage4.1.1.3.1	no
ERR046918	lineage5.1.3	no
ERR046919	lineage4.1.1.3.1	no
ERR046920	lineage4.8.2	no
ERR046921	lineage3.1.1	no
ERR046922	lineage4.2.2	no
ERR046923	lineage4.1.1.1	no
ERR046924	lineage4.1.1.1	no
ERR046925	lineage4.8.2	no
ERR046926	lineage4.8.2	no
ERR046927	lineage4.8.2	no
ERR046928	lineage4.8.2	no
ERR046929	lineage4.8	no
ERR046930	lineage4.8	no
ERR046931	lineage4.1.1.1	no
ERR046932	lineage4.8	no
ERR046933	lineage5.1.3	no
ERR046934	lineage3	no
ERR046935	lineage4.4.2	no
ERR046936	lineage3.1.1	no
ERR046937	lineage4.1.2.1	no
ERR046938	lineage2.2.1	no
ERR046939	lineage3.1.2.2	no
ERR046940	lineage3.1.1	no
ERR046941	lineage3.1.2.2	no
ERR046942	lineage3.1.1	no
ERR046943	lineage4.1.1.1	no
ERR046944	lineage4.8	no
ERR046945	lineage1.2.2.2	no
ERR046946	lineage4.1.1.1	no
ERR046947	lineage2.2.1	no
ERR046948	lineage4.8	no
ERR046949	lineage2.2.1	no
ERR046950	lineage4.1.1.1	no
ERR046951	lineage4.8	no
ERR046952	lineage4.8	no
ERR046953	lineage4.8	no
ERR046954	NA	NA
ERR046955	lineage4.1.2.1	no
ERR046956	lineage4.9	no
ERR046957	lineage4.1.2.1	no
ERR046958	lineage4.1.2.1	no
ERR046959	lineage4.1.2.1	no
ERR046960	lineage4.1.1.1	no
ERR046961	NA	NA
ERR046962	lineage4.1.1.1	no
ERR046963	lineage2.2.1	no
ERR046964	lineage4.1.1.1	no
ERR046965	lineage3.1.1	no
ERR046966	lineage2.2.1	no
ERR046967	lineage2.2.1	no
ERR046968	lineage3.1.1	no
ERR046969	lineage3.1.1	no
ERR046970	lineage3.1.1	no
ERR046971	lineage4.1.1.1	no
ERR046972	lineage4.1.2.1	no
ERR046973	lineage4.1.2.1	no
ERR046974	lineage4.1.2.1	no
ERR046975	lineage4.1.1.1	no
ERR046976	lineage4.1.1.1	no
ERR046977	lineage4.8	no
ERR046978	lineage1.1.2	no
ERR046979	lineage3	no
ERR046980	lineage4.1.1.1	no
ERR046981	lineage4.6.2.2	no
ERR046982	lineage3.1.1	no
ERR046983	lineage3.1.1	no
ERR046984	lineage4.1.1.3	no
ERR046985	lineage4.1.1.3.1	no
ERR046986	lineage4.1.1.1	no
ERR046987	lineage3	no
ERR046988	lineage4.1.1.1	no
ERR046989	NA	NA
ERR046990	lineage4.1.2.1	no
ERR046991	lineage4.1.1.1	no
ERR046992	lineage4.1.2.1	no
ERR046993	lineage4.1.2.1	no
ERR046994	lineage4.1.2.1	no
ERR046995	lineage4.8	no
ERR046996	lineage4.6.2.2	no
ERR046997	lineage4	no
ERR046998	lineage4.8	no
ERR046999	lineage4.8	no
ERR047000	lineage4.1.1.3	no
ERR047001	lineage1.1.2	no
ERR047002	lineage1.1.2	no
ERR047003	lineage2.2.1	no
ERR047004	lineage4.6.2.2	no
ERR047005	lineage4.8.1	no
ERR047006	lineage4.8.1	no
ERR047007	lineage4.3.3	no
ERR047008	lineage4.8.1	no
ERR047009	lineage4.8	no
ERR047010	lineage4.3.1.1	no
ERR047011	lineage4.8	no
ERR047012	lineage4.3.1.1	no
ERR047013	lineage4.4.1.1	no
ERR047014	lineage4.3.3	no
ERR047015	lineage4.8	no
ERR047016	lineage4.8.1	no
ERR072013	lineage4.8.2	no
ERR072014	lineage3	no
ERR072015	lineage4.9	no
ERR072016	lineage4.6.2.2	no
ERR072017	lineage4.1.1.1	no
ERR072018	lineage4.9	no
ERR072019	lineage4.8	no
ERR072020	lineage4.1.1.1	no
ERR072021	lineage3	no
ERR072022	lineage3	no
ERR072023	lineage3	no
ERR072024	lineage3	no
ERR072025	lineage3.1.2.2	no
ERR072026	lineage3	no
ERR072027	lineage2.2.1	no
ERR072028	lineage4.1.1.3	no
ERR072029	lineage3.1.2.2	no
ERR072030	lineage4.3.3	no
ERR072031	lineage3	no
ERR072032	lineage3	no
ERR072033	lineage3.1.2.2	no
ERR072034	lineage4.1.1.1	no
ERR072035	lineage4.8	no
ERR072036	lineage4.1.1.1	no
ERR072037	lineage4.4.1.1	no
ERR072038	lineage4.4.1.1	no
ERR072039	lineage4	no
ERR072040	lineage3	no
ERR072041	lineage4.8.2	no
ERR072042	lineage4.8.2	no
ERR072043	lineage3.1.3	no
ERR072044	lineage4.8.2	no
ERR072045	lineage4.8.2	no
ERR072046	lineage4.8.2	no
ERR072047	lineage4.8.2	no
ERR072048	lineage4.8.2	no
ERR072049	lineage4.2.2	no
ERR072050	lineage4.8.2	no
ERR072051	lineage4.8.2	no
ERR072052	lineage3	no
ERR072053	lineage4.2.2	no
ERR072054	lineage3.1.3	no
ERR072055	lineage3.1.3	no
ERR072056	lineage3	no
ERR072057	lineage3	no
ERR072058	lineage3	no
ERR072059	lineage3.1.2.2	no
ERR072060	lineage3	no
ERR072061	lineage3	no
ERR072062	lineage3	no
ERR072063	lineage3	no
ERR072064	lineage3	no
ERR072065	lineage3.1.1	no
ERR072066	lineage3.1.3	no
ERR072067	lineage3	no
ERR072068	lineage3	no
ERR072069	lineage3	no
ERR072070	lineage3.1.2.2	no
ERR072071	lineage3	no
ERR072072	lineage3.1.2.2	no
ERR072073	lineage3	no
ERR072074	lineage3	no
ERR072075	lineage3	no
ERR072076	lineage3.1.2.2	no
ERR072077	lineage3.1.1	no
ERR072078	lineage3.1.2.2	no
ERR072079	lineage3	no
ERR072080	lineage3.1.1	no
ERR072081	lineage3.1.2.2	no
ERR072082	lineage4.8	no
ERR072083	lineage4.8	no
ERR072084	lineage3.1.2.1	no
ERR072085	lineage3	no
ERR072086	lineage1.1.3.1	no
ERR072087	lineage4.1.1.3.1	no
ERR072088	lineage4.1.1.3	no
ERR072089	lineage4.1.1.3	no
ERR072090	lineage4.1.1.3	no
ERR072091	lineage3	no
ERR072092	lineage3	no
ERR072093	lineage4.8	no
ERR072094	lineage3.1.1	no
ERR072095	lineage4.2.2	no
ERR072096	lineage4.1.1.3.1	no
ERR072097	lineage3.1.2.2	no
ERR072098	lineage4.1.2.1	no
ERR072099	lineage3.1.1	no
ERR072100	lineage4.1.1.1	no
ERR072101	lineage3.1.3	no
ERR072102	lineage3	no
ERR072103	lineage1.2.2.1	no
ERR072104	lineage4.4.2	no
ERR072105	lineage4.8.2	no
ERR072106	lineage4.3.3	no
ERR072107	lineage4.3.4.2.1	no
ERR072108	lineage3.1.1	no
ERR1063831	lineage4.3.4.2.1	no
ERR1063832	lineage3	no
ERR1063833	lineage4.3.4.2.1	no
ERR1063834	lineage1.1.3.1	no
ERR1063835	lineage3.1.1	no
ERR1063836	lineage3.1.1	no
ERR1063837	lineage4.3.4.2.1	no
ERR1063838	lineage2.2.1	no
ERR1063839	lineage2.2	no
ERR1063840	lineage1.1.3.2	no
ERR1063841	lineage2.2.1	no
ERR1063842	lineage4.9.1	no
ERR1063843	lineage4.1.2.1	no
ERR1063844	lineage3.1.1	no
ERR1063845	lineage2.2.1	no
ERR1063846	NA	NA
ERR1063847	lineage3.1.1	no
ERR1063848	lineage4.3.4.2.1	no
ERR1063849	NA	NA
ERR1063850	lineage4.3.4.2.1	no
ERR1063851	lineage3.1.1	no
ERR1063852	lineage4.3.4.2.1	no
ERR1063853	lineage4.3.4.2.1	no
ERR1063854	lineage3	no
ERR1063855	lineage9;lineage4.9;lineage4.1.4;lineage4.1.2	yes
ERR1063856	NA	NA
ERR1063857	lineage2	no
ERR1063858	NA	NA
ERR1063859	NA	NA
ERR1063860	lineage3.1.1	no
ERR1063861	lineage1.2.2.2	no
ERR1063862	NA	NA
ERR1063863	lineage4.3.4.2.1	no
ERR1063864	lineage4.3.4.2.1	no
ERR1063865	lineage1.1.3.2	no
ERR1063866	lineage4.3.3	no
ERR1063867	lineage2.2.1	no
ERR1063868	lineage4.3.4.2.1	no
ERR1063869	lineage4.3.4.2.1	no
ERR1063870	lineage1.1.3.2	no
ERR1063871	lineage4.3.4.2.1	no
ERR1063872	lineage4.3.4.2.1	no
ERR1063873	lineage4.3.4.2.1	no
ERR1063874	lineage4.3.4.2.1	no
ERR1063875	lineage4.4.1.1	no
ERR1063876	lineage4.3.3	no
ERR1063877	lineage4.3.3	no
ERR1063878	lineage4.3.4.2.1	no
ERR1063879	lineage4.9	no
ERR1063880	lineage1.1.3.2	no
ERR1063881	lineage4.3.4.2.1	no
ERR1063882	lineage4.3.4.2	no
ERR1063883	lineage2.1	no
ERR1063884	lineage1.1.2	no
ERR1063885	lineage4.9	no
ERR1063886	lineage4.3.4.2.1	no
ERR1063887	lineage4.3.4.2.1	no
ERR1063888	lineage1.1.2	no
ERR1063889	lineage4.3.4.2.1	no
ERR1063890	lineage3.1.1	no
ERR1063891	lineage2.2.1	no
ERR1063892	lineage3.1.1	no
ERR1063893	lineage3.1.1	no
ERR1063894	lineage4.2.2.2	no
ERR1063895	lineage4.1.2.1	no
ERR1063896	lineage6.2	no
ERR1082123	lineage5.1.2	no
ERR1082130	lineage6.1.1	no
ERR114421	lineage4.4.1.1	no
ERR114422	lineage4.1.2.1	no
ERR114423	lineage3	no
ERR114424	lineage3	no
ERR114425	lineage1.1.2	no
