sample	tb_profiler_strain	mixed_strain
ERR4553850	lineage2.2	no
ERR4553851	lineage4.8	no
ERR4553852	NA	NA
ERR4553853	lineage2.2.1	no
ERR4553854	lineage1.1.3.1	no
ERR4553855	NA	NA
ERR4553856	lineage4	no
ERR4553857	lineage4	no
ERR4553858	lineage1.1.3.1	no
ERR4553859	NA	NA
ERR4553860	lineage4.8	no
ERR4553861	lineage1.2.2.2	no
ERR4553862	lineage1.2.2.2	no
ERR4553863	lineage4.1.1.1	no
ERR4553864	lineage4.3.4.2	no
ERR4553865	NA	NA
ERR4553866	lineage4.8	no
ERR4553867	lineage2.2.1	no
ERR4553868	lineage2.2	no
ERR4553869	NA	NA
ERR4553870	lineage2.2.1	no
ERR4553871	lineage1.1.2	no
ERR4553872	lineage2.2.2	no
ERR4553873	lineage1.1.3.1	no
ERR4553874	lineage4.3.4.2	no
ERR4553875	lineage2.2	no
ERR4553876	lineage2.2.1	no
ERR4553877	lineage2.2.2	no
ERR4553878	NA	NA
ERR4553879	NA	NA
ERR4553880	lineage4.8	no
ERR4553881	lineage1.1.3.1	no
ERR4553882	lineage1.2.2.2	no
ERR4553883	lineage2.2.1	no
ERR4553884	NA	NA
ERR4553885	lineage4.8	no
ERR4553886	NA	NA
ERR4553887	lineage4	no
ERR4553888	lineage4.8	no
ERR4553889	lineage2.2	no
ERR4553890	lineage2.2.1	no
ERR4553891	lineage2.2.1	no
ERR4553892	lineage1.1.3.1	no
ERR4553893	lineage2.2	no
ERR4553894	NA	NA
ERR4553895	lineage2.2.1	no
ERR4553896	lineage4	no
ERR4553897	lineage4.8	no
ERR4553898	lineage2.2.2	no
ERR4553899	NA	NA
ERR4553900	NA	NA
ERR4553901	lineage2.2.1	no
ERR4553902	lineage4.8	no
ERR4553903	lineage2.2.1	no
ERR4553904	lineage2.2	no
ERR4553905	lineage1.1.3.1	no
ERR4553906	lineage2.2.1	no
ERR4553907	lineage2.2.2	no
ERR4553908	lineage1.1.2	no
ERR4553909	lineage2.2.1	no
ERR4553910	lineage1.1.3.1	no
ERR4553911	lineage2.2.1	no
ERR4553912	lineage2.2.1	no
ERR4553913	lineage4.1.1.1	no
ERR4553914	lineage2.2.1	no
ERR4553915	lineage2.2.1	no
ERR4553916	lineage2.2.1	no
ERR4553917	lineage4.1.1.1	no
ERR4553918	lineage2.2.1	no
ERR4553919	lineage2.2.1	no
ERR4553920	lineage2.2.1	no
ERR4553921	lineage2.2.1	no
ERR4553922	lineage1.1.3.1	no
ERR4553923	lineage4	no
ERR4553924	lineage1.1.3.1	no
ERR4553925	lineage1.1.2	no
ERR4553926	lineage4.8	no
ERR4553927	lineage3.1.2	no
ERR4553928	NA	NA
ERR4553929	lineage2.2.1	no
ERR4553930	lineage2.2.1	no
ERR4553931	lineage4.3.4.2	no
ERR4553932	NA	NA
ERR4553933	lineage3.1.2.1	no
ERR4553934	lineage4.3.4.2	no
ERR4553935	NA	NA
ERR4553936	lineage3.1.2.1	no
ERR4553937	lineage2.2.1	no
ERR4553938	lineage2.2.1	no
ERR4553939	lineage2.2.2	no
ERR4553940	lineage2.2.1	no
ERR4553941	lineage3.1.2	no
ERR4553942	lineage4	no
ERR4553943	lineage4.3.4.2	no
ERR4553944	lineage2.2.2	no
ERR4553945	lineage2.2.1	no
ERR4553946	lineage2.2.1	no
ERR4553947	lineage4	no
ERR4553948	lineage2.2.1	no
ERR4553949	lineage4.1.1.1	no
ERR4553950	lineage4.8	no
ERR4553951	lineage2.2.1	no
ERR4553952	lineage1.1.3.1	no
ERR4553953	lineage1.2.2.2	no
ERR4553954	lineage1.1.3.1	no
ERR4553955	lineage4.1.1.1	no
ERR4553956	lineage2.2.2	no
ERR4553957	lineage2.2.1.2	no
ERR4553958	lineage4.3.4.2	no
ERR4553959	lineage4.8	no
ERR4553960	lineage2.2.1	no
ERR4553961	NA	NA
ERR4553962	lineage2.2.1	no
ERR4553963	lineage2.2.1	no
ERR4553964	lineage1.1.2	no
ERR4553965	lineage1.1.2	no
ERR4553966	lineage2.2.1	no
ERR4553967	lineage4.3.4.2	no
ERR4553968	lineage4	no
ERR4553969	lineage2.2.1	no
ERR4553970	lineage2.2	no
ERR4553971	lineage4.1.1.1	no
ERR4553972	lineage4	no
ERR4553973	lineage2.2.1	no
ERR4553974	lineage2.2.1	no
ERR4553975	lineage3.1	no
ERR4553976	lineage3.1	no
ERR4553977	lineage1.2.2.2	no
ERR4553978	NA	NA
ERR4553979	lineage2.2	no
ERR4553980	lineage2.2.1	no
ERR4553981	NA	NA
ERR4553982	lineage2.2	no
ERR4553983	lineage2.2.1	no
ERR4553984	lineage4.1.1.1	no
ERR4553985	lineage4.9	no
ERR4553986	lineage3	no
ERR4553987	lineage2.2.1	no
ERR4553988	lineage3.1	no
ERR4553989	lineage2.2.1	no
ERR4553990	lineage4.9	no
ERR4553991	NA	NA
ERR4553992	lineage2.2.1	no
ERR4553993	lineage2.2	no
ERR4553994	lineage4.1.1	no
ERR4553995	lineage2.2.1	no
ERR4553996	lineage4.1.1.1	no
ERR459440	lineage4.8	no
ERR459441	lineage4.8	no
ERR459442	lineage4.8	no
ERR459443	lineage4.8	no
ERR459444	lineage4.8	no
ERR459445	lineage4.8	no
ERR459446	lineage4.8	no
ERR459447	lineage4.8	no
ERR459448	lineage4.8	no
ERR461940	lineage4.8	no
ERR461941	lineage4.8	no
ERR461942	lineage4.8	no
ERR461943	lineage4.8	no
ERR461944	lineage4.8	no
ERR461945	lineage4.8	no
ERR461946	lineage4.8	no
ERR461947	lineage4.8	no
ERR461948	lineage4.8	no
ERR473277	lineage4;lineage1.1.3;lineage1.1.1	yes
ERR473278	NA	NA
ERR473279	NA	NA
ERR473280	lineage4.3.4.2.1	no
ERR473281	lineage4.3.4.2.1	no
ERR473282	lineage1.1.2	no
ERR473283	lineage2.2.1	no
ERR473284	lineage4.3.4.2.1	no
ERR473285	lineage4.3.4.2.1	no
ERR473286	lineage4.1.1.3	no
ERR473287	lineage4.3.4.2.1	no
ERR473288	lineage4.3.4.2.1	no
ERR473289	lineage4.3.4.2.1	no
ERR473290	lineage4.3.4.2.1	no
ERR473291	lineage4.3.4.2.1	no
ERR473292	lineage4.3.4.2.1	no
ERR473293	lineage4.3.4.2.1	no
ERR473294	lineage4.3.4.2.1	no
ERR473295	lineage4.1.2	no
ERR473296	lineage4.3.3	no
ERR473297	lineage1.2.2.2	no
ERR473298	lineage4.6.2.2	no
ERR473299	lineage1.1.3.2	no
ERR473300	lineage4.6.1.1	no
ERR473301	lineage4.3.4.2.1	no
ERR473302	lineage4.3.4.2.1	no
ERR473303	NA	NA
ERR473304	lineage2.2.1	no
ERR473305	lineage1.1.2	no
ERR473306	lineage4.6.2.2	no
ERR473307	lineage4.1.2.1	no
ERR473308	lineage4.3.4.2.1	no
