host_id	isolate_id
092ec6ed-51a1-48d2-b140-9403af4bf802_lineage4.2.1_strain1	SRR10379979
1014d30b-99ae-4f65-9dd9-eb53e7f4d37a_lineage4.2.1_strain1	SRR7516429
1274a209-b723-4a76-b945-491d1e9da47f_lineage4.2.1_strain1	SRR3743484
14df23bf-0a02-4767-88f7-ab9b02d7319a_lineage4.2.1.1_strain1	SRR6807669
1bbf3743-855f-4dd1-a719-0a044cd12d4b_lineage4.2.1_strain1	SRR6807731
1cef6c8b-19d2-4161-ab05-d45d30519368_lineage4.2.1_strain1	SRR3743459
1f67461f-b3c3-44bf-a190-059f76a488a2_lineage4.2.1_strain1	SRR3743491
31b5105c-91e1-4d10-bc57-b46f25f4dc95_lineage4.2.1_strain1	SRR10380013
33baf186-5d13-4052-abdd-48eafaa46f00_lineage4.2.1_strain1	SRR3743394
34339efd-24b8-44c7-8f7f-321a80b28577_lineage4.2.1_strain1	SRR10379978
3aa13b89-9c43-405a-bcd4-94cf1703c3f3_lineage4.2.1_strain1	SRR3743437
3fc8fa2b-ca48-47db-83ee-e1af7e78058e_lineage4.2.1_strain1	SRR6807735
4825f078-70c5-42bf-ab5a-cfdaeb784a71_lineage4.2.1_strain1	SRR3743403
49228d5b-1745-49ee-8960-c5c861a21db3_lineage4.2.1_strain1	SRR10380165
4a359c8e-be74-4f42-accc-99e3208cec6b_lineage4.2.1_strain1	SRR10379876
4ec79465-c741-4ff1-8c58-c58aa0b6e6e9_lineage4.2.1.1_strain1	SRR10379900
504c54c5-3734-4151-a859-21d6dc725e24_lineage4.2.1_strain1	SRR10379953
56758781-119a-40e1-907b-98a118836cf1_lineage4.2.1_strain1	SRR6807691
56f15132-4a86-49da-ae0e-fcbcbc5f6d27_lineage4.2.1_strain1	SRR5153921
5b517fef-a274-4e52-8401-e52c7ea4b4c8_lineage4.2.1_strain1	SRR10380041
65d72352-4db4-4b29-9368-9047690a5e7b_lineage4.2.1_strain1	SRR10380070
69abafe6-82df-4f6b-ae05-8365d8acf565_lineage4.2.1_strain1	SRR3743402
6caff9be-7741-48bb-9281-1786a56ff6f4_lineage4.2.1_strain1	SRR3743486
6e2adddd-f9c1-492c-9a57-b4de0d39be69_lineage4.2.1_strain1	SRR3743390
71c5d846-a0b3-491e-aa87-75ce6d96bce7_lineage4.2.1_strain1	SRR10379948
7777b9bd-edf4-454b-847d-622186963cb1_lineage4.2.1_strain1	SRR10379912
789f1880-7525-4189-b702-455b1c00feb2_lineage4.2.1_strain1	SRR10380002
802e5a96-d20b-43c9-912f-7ec9f50e8b78_lineage4.2.1_strain1	SRR10380147
890d2225-30ce-43c0-baf6-58983e9db27b_lineage4.2.1_strain1	SRR10380085
894f8d48-9835-488e-9c13-03fafa5c6649_lineage4.2.1_strain1	SRR16088076
92c91227-a874-4886-99be-c62df8fd2058_lineage4.2.1.1_strain1	SRR10380090
ac048c9d-10b0-49ce-a993-faa9145f25f9_lineage4.2.1.1_strain1	SRR10380058
b86d252a-20da-42e1-aebb-c27e4092b0b1_lineage4.2.1_strain1	SRR3743391
b9b9a0bf-15e0-4c10-8d0c-35f6675ea806_lineage4.2.1_strain1	SRR10380160
b9d640db-3546-496c-862d-21e79d78d419_lineage4.2.1_strain1	SRR10380009
ba7ab977-d478-4526-8828-22d63e53fe99_lineage4.2.1_strain1	SRR5153838
baca1a2e-398a-421d-9a54-4b4b601ccf11_lineage4.2.1_strain1	SRR10379956
bec56f16-a5f3-4338-b978-995aec3fd6c9_lineage4.2.1_strain1	SRR10380118
c0d820fa-74d9-4ba2-b05a-e0887624f833_lineage4.2.1_strain1	SRR10380004
c4d50463-a287-4bc0-b507-2f48ee59f68a_lineage4.2.1_strain1	SRR3743498
c6675e25-7550-4510-ae77-b3b3ec953492_lineage4.2.1_strain1	SRR3743382
c961232e-393d-4e77-8ef4-b9eaf4bbd03f_lineage4.2.1.1_strain1	SRR10380251
caa05a98-db7a-46be-a395-cdfb53d50a16_lineage4.2.1_strain1	SRR10379932
ce93e57c-1707-42f1-a523-a2a68df22c36_lineage4.2.1_strain1	SRR3743472
d424acd0-9572-4fb4-931b-6672a4e3332b_lineage4.2.1_strain1	SRR5153846
da97a593-c231-49d7-80f4-ae21f3292de8_lineage4.2.1_strain1	SRR3743385
dfc45eb5-5488-4ccb-aab9-39c22453a791_lineage4.2.1_strain1	SRR10379889
e2949f4d-929b-42a1-b470-1ea25f1d4f59_lineage4.2.1_strain1	SRR10380022
ea5f96dc-c56e-4ca4-ba72-b70e6f0e2185_lineage4.2.1_strain1	SRR10380018
eac4fbf3-6270-4305-ac40-67a3aeed707d_lineage4.2.1_strain1	SRR10380121
eb3fe5b1-165a-4ece-a5d1-09c55f86377d_lineage4.2.1_strain1	SRR10379916
eb8e3a29-2b24-4f8a-858c-25d6cc9aaf61_lineage4.2.1.1_strain1	SRR10380153
ebd165c7-a87a-4e42-bdea-dad8f5ddb27c_lineage4.2.1.1_strain1	SRR5153880
f20f347e-0ab8-4b27-b7ff-cf31accf57ad_lineage4.2.1_strain1	SRR10379982
f5ccfdc0-74fe-4c9d-913e-27c80d10fafe_lineage4.2.1_strain1	SRR6807693
f788a073-6179-4af7-8706-31ecefdf4516_lineage4.2.1_strain1	SRR3743378
f836de48-31e2-4a39-ae66-cab9ef6a8f0e_lineage4.2.1_strain1	SRR5153854
hu2021_ADR17_lineage4.2.2_strain1	SRR13423561
liu2020_F_lineage4.2.2_strain1	ERR3559274
liu2020_F_lineage4.2.2_strain1	ERR3559277
liu2020_F_lineage4.2.2_strain1	ERR3559278
liu2020_F_lineage4.2.2_strain1	ERR3559279
liu2020_F_lineage4.2.2_strain1	ERR3559280
liu2020_F_lineage4.2.2_strain1	ERR3559281
liu2020_F_lineage4.2.2_strain1	ERR3559282
liu2020_F_lineage4.2.2_strain1	ERR3559284
liu2020_F_lineage4.2.2_strain1	ERR3559285
liu2020_F_lineage4.2.2_strain1	ERR3559286
liu2020_F_lineage4.2.2_strain1	ERR3559290
liu2020_F_lineage4.2.2_strain1	ERR3559291
liu2020_F_lineage4.2.2_strain1	ERR3559292
liu2020_F_lineage4.2.2_strain1	ERR3559294
liu2020_F_lineage4.2.2_strain1	ERR3559295
liu2020_F_lineage4.2.2_strain1	ERR3559296
liu2020_F_lineage4.2.2_strain1	ERR3559297
liu2020_F_lineage4.2.2_strain1	ERR3559298
liu2020_F_lineage4.2.2_strain1	ERR3559299
liu2020_F_lineage4.2.2_strain1	ERR3559300
liu2020_F_lineage4.2.2_strain1	ERR3559301
liu2020_F_lineage4.2.2_strain1	ERR3559302
liu2020_F_lineage4.2.2_strain1	ERR3559304
liu2020_F_lineage4.2.2_strain1	ERR3559305
liu2020_F_lineage4.2.2_strain1	ERR3559306
liu2020_F_lineage4.2.2_strain1	ERR3559307
walker2013_P000156_lineage4.2.2_strain1	ERR025842
walker2013_P000156_lineage4.2.2_strain1	ERR025843
walker2013_P000156_lineage4.2.2_strain1	ERR025844
walker2013_P000156_lineage4.2.2_strain1	ERR025846
walker2013_P000156_lineage4.2.2_strain1	ERR039345
walker2013_P000156_lineage4.2.2_strain1	ERR046922
walker2018b_1240396_lineage4.2.2.2_strain1	ERR2516914
walker2018b_1465205_lineage4.2.2_strain1	ERR2516884
