host_id	isolate_id
1eb16890-7a12-439c-aa59-ea80fc2a876f_lineage4.8_strain1	SRR10380208
2d32b0fe-6caf-4446-9f16-2ab65a5ffb08_lineage4.8_strain1	SRR10379960
3cdebd14-fde1-4fa9-a7cd-8bc3e42433e6_lineage4.8_strain1	SRR10397205
3fbffca8-1062-4256-b722-821d8e4449a5_lineage4.8_strain1	SRR16088241
4b27abc2-b9e3-4396-885a-ab5d4e554735_lineage4.8_strain1	SRR10379892
4b27abc2-b9e3-4396-885a-ab5d4e554735_lineage4.8_strain1	SRR10379893
4d4a835e-01be-4507-b142-a170a95f7c8f_lineage4.8_strain1	SRR5153836
51b66ee3-0543-4612-873d-6269622e8ee2_lineage4.8_strain1	SRR10397124
51b66ee3-0543-4612-873d-6269622e8ee2_lineage4.8_strain1	SRR7516306
5b08ba17-b701-466a-aa48-b304f6a7a0e5_lineage4.8_strain1	SRR7516350
761a277b-c802-4230-a14e-b434d1d2af3e_lineage4.8_strain1	SRR1159038
76628000-733d-4b33-9a5d-0ec7d54cf79a_lineage4.8_strain1	SRR5152928
785356a5-08f4-4f15-813c-40a4a50d2bf7_lineage4.8_strain1	SRR5153913
7d2bbd8f-b3e3-45b2-9de3-af38cb7a1c50_lineage4.8_strain1	SRR11033592
7f912070-a7d5-490f-a81a-c639519d9b38_lineage4.8_strain1	SRR10379925
b41a3447-35d0-4fd0-9006-bf82f2c5f35d_lineage4.8_strain1	SRR10380231
b4db6875-f3cb-47a4-8e58-a8dced21c86a_lineage4.8_strain1	SRR16088371
c0d900ad-288f-436c-a116-f02bd35c4d6b_lineage4.8_strain1	SRR7592326
ccdf9aff-7cad-4580-b25e-cfd5093e04d1_lineage4.8_strain1	SRR16087933
cf6149f6-95c0-4dfc-82d2-cdcaafb8a99e_lineage4.8_strain1	SRR5153858
cox2021_-352603864653171536_lineage4.8_strain1	ERR6052064
cox2021_1145085375848453025_lineage4.8_strain1	ERR6362166
d1eb0f76-9dba-4ffa-8114-03d806434b7f_lineage4.8_strain1	SRR5486906
d833706b-7698-44fa-9064-560ac05d7ead_lineage4.8_strain1	SRR5153868
eldholm2014_patientX_lineage4.8_strain1	ERR459440
eldholm2014_patientX_lineage4.8_strain1	ERR459441
eldholm2014_patientX_lineage4.8_strain1	ERR459442
eldholm2014_patientX_lineage4.8_strain1	ERR459443
eldholm2014_patientX_lineage4.8_strain1	ERR459444
eldholm2014_patientX_lineage4.8_strain1	ERR459445
eldholm2014_patientX_lineage4.8_strain1	ERR459446
